Reading;Listening music;Cinema;Show;Exhibition;Computer;Sport;Walking;Travelling;Playing music;Collecting;Volunteering;Mechanic;Gardening;Knitting;Cooking;Fishing;TV;Sex;Age;Marital status;Profession;nb.activitees
y;y;y;y;y;n;y;y;y;n;n;y;y;n;n;n;n;2;F;(55,65];Married;Management;11
y;n;n;n;y;n;y;y;n;n;y;y;y;y;n;n;n;4;M;(45,55];Married;NA;9
y;y;n;n;y;n;n;n;y;n;n;n;n;n;n;n;n;4;F;(25,35];Remarried;Management;5
y;n;n;n;y;n;y;n;y;n;n;n;n;n;n;n;n;1;M;(75,85];Married;NA;5
y;y;y;y;n;n;n;y;n;n;n;n;n;n;n;n;n;3;M;(55,65];Married;Employee;6
n;n;n;n;n;n;n;n;n;n;n;n;y;n;n;n;n;3;M;(45,55];Married;Manual labourer;2
n;y;n;n;n;y;y;n;n;n;n;n;y;n;n;n;n;3;M;(35,45];Married;Employee;5
y;y;y;y;y;y;n;n;y;n;n;n;n;n;n;n;n;0;M;[15,25];Single;NA;7
y;y;y;y;n;y;y;y;y;y;n;n;n;n;n;n;n;1;F;(35,45];Single;Management;10
y;y;y;n;y;n;n;n;n;y;n;n;y;y;n;n;n;1;F;(25,35];Single;Employee;8
y;n;y;y;n;n;y;n;n;n;n;n;n;n;n;n;n;0;F;[15,25];Single;Employee;4
y;y;y;y;y;n;n;y;y;n;n;n;n;n;n;n;n;2;F;(75,85];Divorcee;Management;8
y;y;y;y;y;y;y;n;y;n;n;n;n;n;n;n;n;3;F;(35,45];Married;Employee;9
y;y;y;y;y;y;y;y;y;y;n;y;n;n;n;y;n;0;F;[15,25];Single;NA;12
n;n;n;n;n;n;n;n;n;y;n;n;n;y;n;n;n;4;F;(65,75];Divorcee;NA;3
y;n;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;3;F;(45,55];Married;Employee;3
y;y;n;y;y;y;y;n;n;n;n;n;n;n;n;n;n;2;M;(55,65];Single;NA;7
n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;1;F;(45,55];Married;Employee;1
y;y;n;y;y;n;n;n;y;n;n;n;n;n;n;n;n;3;M;(65,75];Married;Foreman;6
y;y;y;y;y;y;y;n;y;y;n;n;y;n;n;n;n;1;M;(25,35];Single;Management;11
y;y;y;y;y;y;y;n;y;y;n;n;n;n;n;y;y;2;M;(45,55];Remarried;Management;12
n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;3;M;(45,55];Married;Employee;1
y;y;y;n;n;y;y;y;y;y;n;n;y;n;n;y;n;3;F;(25,35];Single;Management;11
y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;y;n;4;F;(25,35];Single;Management;11
y;y;y;y;n;n;y;y;n;n;n;n;n;n;n;n;n;0;F;(65,75];Divorcee;NA;6
y;y;y;y;y;n;y;y;y;y;n;y;n;n;n;n;n;0;F;(35,45];Single;Employee;10
y;y;y;y;y;y;n;y;n;y;n;n;y;y;n;y;n;0;M;[15,25];Single;NA;11
y;y;y;y;y;y;y;n;y;n;y;n;y;n;n;n;n;2;F;(45,55];Married;Management;11
y;y;y;y;y;n;n;n;n;n;y;n;y;y;n;n;n;2;M;(35,45];Single;Management;9
y;y;y;y;y;y;n;y;y;y;n;n;n;n;n;y;n;2;F;(25,35];Single;Management;11
y;y;n;n;n;n;n;y;n;n;n;n;n;n;n;y;n;4;M;(55,65];Married;NA;5
y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;y;n;4;F;(35,45];Married;NA;12
y;y;n;y;y;y;n;n;y;n;n;n;n;n;n;y;n;2;F;(45,55];Single;Management;8
