Pays;15-19;20-24;25-29;30-34;35-39;40 et +;Région
Albanie;20.8;107.1;126.7;72.3;24.4;5.5;Europe sud
Allemagne;8;36.4;78.9;94.6;50.9;9.3;Europe Ouest
Autriche;8.6;44.5;89.2;94.6;46.8;9.6;Europe Ouest
Belgique;9;52.6;127;116.6;48.3;9.6;Europe Ouest
Biélorussie;21.4;90.4;106.7;67.6;26;4.4;Europe est
Bosnie-Herzégovine;11;52.5;91.8;69.7;25.7;4.7;Europe sud
Bulgarie;42.1;71.9;90.9;67.1;27.2;4.7;Europe est
Croatie;11.4;54.6;99.1;91.4;39.9;7.8;Europe sud
Danemark;4.4;37.3;112.9;125;55.5;10.8;Europe nord
Espagne;8.9;29.2;57.6;91.2;62.4;14.9;Europe sud
Estonie;16.1;57.9;99.6;87;46.6;10.9;Europe nord
Finlande;7.3;52;107.5;112.3;58;12.8;Europe nord
France;9.5;59.3;132.1;127;58.3;13.4;Europe Ouest
Grèce;8.5;32.6;76.5;91.6;47.8;11.7;Europe sud
Hongrie;19.2;41.9;77.9;81.5;39.3;7.7;Europe est
Irlande;12.1;51.1;87.8;130.3;97.5;23.8;Europe nord
Islande;8.1;58.3;120.5;126;65;14.4;Europe nord
Italie;6.4;33.4;73.2;95.3;61.1;16.2;Europe sud
Lettonie;15.4;57.1;93.8;78.7;40.3;10.8;Europe nord
Lituanie;14;55.4;117.3;86.5;34.1;6.6;Europe nord
Luxembourg;7;41.3;84.3;110.3;57.3;13.2;Europe Ouest
Macédoine;19;72.1;103;76.5;27.8;4.4;Europe sud
Malte;17.8;39.4;87.1;92.8;42.9;7.1;Europe sud
Moldavie;25.7;80;78.4;46.1;19.9;3.8;Europe est
Monténégro;13.3;74.6;114.9;89.8;39.4;10.1;Europe sud
Norvège;6.1;48.9;115.1;122.2;57;10.7;Europe nord
Pays-Bas;4.5;35.3;108.4;136.7;55.8;9.6;Europe Ouest
Pologne;14.7;53.1;93.7;73;32.7;6.9;Europe est
Portugal;12;37.5;71.4;82.8;43.4;9.5;Europe sud
Rép. Tchèque;11;42.1;93.4;98.9;38;6.7;Europe est
Roumanie;37.3;70.8;89.3;65.5;27.8;5.3;Europe est
Royaume-Uni;18.1;65.4;105.1;114.6;65.2;14.8;Europe nord
Russie;26.9;89.3;103.7;71.9;33.6;7;Europe est
Serbie;20.6;68.4;99;83.2;34.5;6.9;Europe sud
Slovaquie;21.3;51.1;85.2;77.9;32.1;6;Europe est
Slovénie;4.5;43.8;108.2;106.8;44.4;7.7;Europe sud
Suède;5.5;47.7;114.3;134.1;67.6;14.9;Europe nord
Suisse;3.5;31.7;81.9;111.6;63;12.5;Europe Ouest
Ukraine;28;90.6;90.2;58.9;25.2;5.1;Europe est
