Lecture;Ecouter musique;Cinéma;Spectacle;Exposition;Ordinateur;Sport;Marche;Voyage;Jouer musique;Collection;Activité bénévole;Bricolage;Jardinage;Tricot;Cuisine;Pêche;TV;Sexe;Age;Situation matrimoniale;Profession;Nb activités
O;O;O;O;O;N;O;O;O;N;N;O;O;N;N;N;N;2;F;(55,65];Marié;cadre;11
O;N;N;N;O;N;O;O;N;N;O;O;O;O;N;N;N;4;M;(45,55];Marié;NA;9
O;O;N;N;O;N;N;N;O;N;N;N;N;N;N;N;N;4;F;(25,35];remarié;cadre;5
O;N;N;N;O;N;O;N;O;N;N;N;N;N;N;N;N;1;M;(75,85];Marié;NA;5
O;O;O;O;N;N;N;O;N;N;N;N;N;N;N;N;N;3;M;(55,65];Marié;employé;6
N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;3;M;(45,55];Marié;ouvrier;2
N;O;N;N;N;O;O;N;N;N;N;N;O;N;N;N;N;3;M;(35,45];Marié;employé;5
O;O;O;O;O;O;N;N;O;N;N;N;N;N;N;N;N;0;M;[15,25];Seul;NA;7
O;O;O;O;N;O;O;O;O;O;N;N;N;N;N;N;N;1;F;(35,45];Seul;cadre;10
O;O;O;N;O;N;N;N;N;O;N;N;O;O;N;N;N;1;F;(25,35];Seul;employé;8
O;N;O;O;N;N;O;N;N;N;N;N;N;N;N;N;N;0;F;[15,25];Seul;employé;4
O;O;O;O;O;N;N;O;O;N;N;N;N;N;N;N;N;2;F;(75,85];Divorcé;cadre;8
O;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;3;F;(35,45];Marié;employé;9
O;O;O;O;O;O;O;O;O;O;N;O;N;N;N;O;N;0;F;[15,25];Seul;NA;12
N;N;N;N;N;N;N;N;N;O;N;N;N;O;N;N;N;4;F;(65,75];Divorcé;NA;3
O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(45,55];Marié;employé;3
O;O;N;O;O;O;O;N;N;N;N;N;N;N;N;N;N;2;M;(55,65];Seul;NA;7
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;1;F;(45,55];Marié;employé;1
O;O;N;O;O;N;N;N;O;N;N;N;N;N;N;N;N;3;M;(65,75];Marié;agent de maîtrise;6
O;O;O;O;O;O;O;N;O;O;N;N;O;N;N;N;N;1;M;(25,35];Seul;cadre;11
O;O;O;O;O;O;O;N;O;O;N;N;N;N;N;O;O;2;M;(45,55];remarié;cadre;12
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;M;(45,55];Marié;employé;1
O;O;O;N;N;O;O;O;O;O;N;N;O;N;N;O;N;3;F;(25,35];Seul;cadre;11
O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;O;N;4;F;(25,35];Seul;cadre;11
O;O;O;O;N;N;O;O;N;N;N;N;N;N;N;N;N;0;F;(65,75];Divorcé;NA;6
O;O;O;O;O;N;O;O;O;O;N;O;N;N;N;N;N;0;F;(35,45];Seul;employé;10
O;O;O;O;O;O;N;O;N;O;N;N;O;O;N;O;N;0;M;[15,25];Seul;NA;11
