Produit;IntensiteOlfactive;IntensiteDAttaque;Sucre;Acide;Amer;AromeOrange;AromeBanane;AromeMangue;AromeCitron;PersistanceGout;Pulpeux;Epaisseur;%ORANGE;%BANANE;%MANGUE;%CITRON;pH;AciditeTotale;ExtraitSec;AcideCitrique;Acide-L-Malique;Saccharose;Fructose;Glucose;MatProteique;VitC;Colorant
MCb*;5.583333;6.958333;6.208333;7.083333;2;3.75;3.043478;5.958333;6.25;6.75;2.541667;6.083333;20;20;50;10;2.9;0.138;127.4;2.54;0.39;42;13.6;8;2.98;153.2;Oui
Mb;5.434783;5.875;7.75;3.291667;1.541667;3.25;5.208333;3.541667;4.173913;6;2.26087;6.75;20;30;50;0;3.5;0.052;142.6;2.73;0.42;86;24.6;25.2;2.3;190.6;Non
BCm;6.166667;6.083333;7.208333;4.375;1.791667;3.208333;7.541667;3.291667;3.708333;6.090909;2.583333;7.083333;20;50;20;10;3;0.133;126.5;2.19;0.42;25.1;12.5;13.3;3.36;194.2;Non
Bmc*;6.041667;5.565217;8.333333;2.791667;1.625;2.5;8.166667;3.125;4.347826;6.045455;2.708333;7.5;20;50;25;5;3.2;0.101;129.9;2.32;0.28;18.1;19.5;21.9;3.7;208.4;Oui
MCo;5.291667;7.25;4.869565;7.708333;1.956522;5.625;1.666667;4.583333;5.875;5.869565;1.695652;3.956522;40;0;50;10;3;0.166;117.5;2;0.43;26.6;9.2;6.5;3.86;147.9;Non
BCo*;5.478261;6.666667;5.086957;7.5;2.125;3.958333;4.916667;5.791667;4.391304;6.318182;2.416667;6.166667;40;50;0;10;3.2;0.137;125.4;1.2;0.44;24.9;16.9;19.3;4.54;224.5;Oui
Moc*;5.565217;6.291667;6.041667;6.583333;2.041667;4.916667;2.25;5.125;5.434783;6.863636;2.043478;4.958333;45;0;50;5;3.2;0.125;119.7;2.86;0.42;43.2;14.1;10.3;4.19;156.8;Oui
obmc*;5.25;6;6.090909;5.130435;2;5.541667;3.166667;4.375;4.666667;6.130435;2.416667;5.333333;45;25;25;5;3.2;0.122;123.1;2.38;0.42;29.2;6;14.8;4.39;204.9;Oui
obmc1;4.708333;5.833333;6.083333;5.5;2.086957;5.791667;3.5;3.375;4.375;6.272727;2.458333;4.75;45;25;25;5;3.2;0.122;123.1;2.38;0.44;29.2;6;14.8;4.39;197.7;Non
obmc2;4.227273;5.458333;6.166667;5.583333;2.125;6.041667;3.666667;3.833333;4;6.208333;2.478261;5;45;25;25;5;3.2;0.122;123.1;2.38;0.44;29.2;6;14.8;4.39;201.3;Non
obm*;5;5.681818;7.173913;3.541667;1.521739;4.333333;4.416667;4.125;4.75;6.26087;2.333333;5.791667;46.7;26.7;26.7;0;3.7;0.108;124.7;3.47;0.46;21.5;6.5;7.7;4.59;204.9;Oui
Bo;5.521739;5.625;7.083333;3.25;1.458333;4.478261;8;1.708333;2.041667;5.291667;2.166667;6.208333;50;50;0;0;3.8;0.07;131.9;1.59;0.44;16.9;9.8;10.5;5.1;244.1;Non
OCm;5.478261;7.043478;4.304348;8.333333;2.291667;7.5;1.166667;4.583333;4.583333;6.636364;1.583333;3.333333;70;0;20;10;3.1;0.169;109.2;2.53;0.49;20.7;8.3;7.1;5.32;196;Non
Om*;4.708333;5.695652;5.608696;5.125;2.130435;6.708333;1.625;4.208333;3.583333;5.565217;1.809524;4.045455;70;0;30;0;3.6;0.096;117.8;2.79;0.4;53.8;18.4;6;5.36;213.8;Oui
OCb*;4.73913;7.227273;4.521739;8.333333;2.478261;6.125;1.541667;5.25;5;6.75;1.73913;3.666667;70;20;0;10;3.2;0.116;113.7;3.73;0.42;22;11;11.2;5.68;233.4;Oui
Obc;4.590909;6.086957;4.695652;6.391304;2.173913;7.217391;3.083333;2.875;2.833333;5.833333;1.791667;4.041667;70;25;0;5;3.3;0.128;118.4;2.73;0.43;14.8;8;8.3;5.75;229.8;Non
