Eaux;Calcium;Magnesium;Potasium;Sodium;Silice;Sulfates;Chlorures;Nitrates;Gaz
Alet;63;23;1.8;13;300;14;11;2;NG
Arcens;88;66;7;290;1280;3.77;52;0;G
Ariegeoise;3.7;0.58;0.5;1.8;6.7;8;0.8;1;NG
Arvie;183;93;144;616;2306;50;305;0;G
Auvergne;4;1.8;0.6;3.6;24.4;1.5;0.9;0.5;NG
Beaumont;10.8;4.2;1.3;20.5;82.8;8.1;5.2;0.8;NG
Betelu;84.2;16.5;2.4;151.1;220.8;79.2;242.5;3.2;NG
Contrex;467;84;3;7;377;1192;7;2.7;NG
Cristaline;70;2.1;1.6;4.4;200;15.3;8;1;NG
Dix;71;5.5;3.2;11.2;250;5;20;1;NG
Evian;78;24;1;5;357;10;4.5;3.8;NG
Hépar;555;110;4.7;14;403;1479;11;3.9;NG
M.Roucous;1.2;0.2;0.4;2.8;4.9;3.3;3.2;2.3;NG
Montjoie;56;9.7;1.3;21;188;21;41;1;NG
Ogeu;48;12;1;31;183;18;35;3;G
Parot;100;71;82;735;2;507;47;82;G
Perrier;145;4;1.1;8;400;33;24;17;G
Plancoët;56;10.5;3;24;220;18;28;0;NG
Pyrénées;48;11;1;31;183;16;44;3;NG
Roche.ecrins;63;10.2;0.4;1.4;173.2;51.3;1;2;NG
Roxanaise;71.6;2.2;1.8;10.5;198.5;19.5;18.5;2;NG
Salvetat;253;11;3;7;820;25;4;1;G
St.Alban;220;70;46;350;2000;6;21;0;G
St.Amand;176;46;5;28;312;372;58;0;NG
St.Antonin;386;78;3.4;13.5;344.6;970;9.7;0;NG
St.Georges;55;38;19;390;1;762;9;41;G
St.Yorre;78;9;115;1744;4263;182;329;0;G
Vals;45.2;21.3;32.8;453;1403;38.9;27.2;1;G
Valvert;67.6;2;0.7;1.9;204;18;4;4;NG
Verniere;190;71.6;49.3;154;1170.4;158.5;18.4;0;G
Vichy;90;9;71;1265;3245;129;227;2;G
Vital;81.2;14.5;0.8;11.6;267.1;25.5;20.8;7.9;NG
Volvic;9.9;6.1;5.7;9.4;65.3;6.9;8.4;6.3;NG
Wattwiller;253;21;1;3.1;145;560;2.8;0;NG
