;Agriculture;Industrie (sauf construction);Construction;Commerce;Transports;Hébergement et restauration;Information et communication;Finance et assurance;Immobilier;Sciences et technique;Services administratifs;Administration publique;Enseignement;Santé;Arts et spectacles;Autres
Allemagne;641000;8025000;2428000;5898000;2084000;1774000;1218000;1202000;460000;2572000;2963000;2542000;2374000;5166000;645000;2336000
Autriche;182530;685790;296320;659480;205350;282830;106410;132000;58340;262130;221490;252680;256460;430640;63070;135050
Belgique;59600;576600;272300;580100;248400;146800;109500;126800;24800;453400;368300;431500;373400;570100;39400;152900
Bulgarie;656180;680410;179350;522610;185220;145740;77590;63090;26490;98840;141720;217270;172710;157230;42930;54220
Chypre;15920;33190;25140;62330;16200;38360;9260;19150;1690;21330;7720;36140;25130;16260;4840;32290
Croatie;164350;313440;108390;213600;98480;94150;36520;39800;4380;62910;29550;97720;101090;102070;25450;38340
Danemark;72000;308000;165000;454000;133000;111000;97000;78000;47000;151000;121000;154000;218000;483000;54000;96000
Espagne;735500;2241600;1004700;3318700;825800;1296700;455300;369200;182400;912200;1130900;1384400;1207400;1257100;375900;1250000
Estonie;24900;128600;47200;80300;42400;22600;19600;10200;11600;25900;21700;45600;55800;36200;16800;11500
Finlande;112400;386000;190400;302400;150100;80500;98800;46400;23800;144700;132500;169700;164300;385000;48400;84200
France;757000;3040000;1838000;3686000;1372000;1143000;823000;781000;351000;1901000;2007000;2393000;1825000;3776000;577000;928000
Grèce;489470;392260;172610;792130;190420;284460;81470;93790;6820;208050;98370;374260;282040;214860;41520;234700
Hongrie;281050;843230;259840;570620;251860;158730;111070;93350;63480;174310;175300;378810;251210;271650;62240;99100
Irlande;106860;240900;102090;272570;88270;130910;80690;90830;8560;109700;61900;95510;146500;246510;41880;58250
Italie;892300;4249700;1642700;3636800;1105500;1374400;585100;668000;179500;1600900;1214400;1291300;1488200;1798800;316000;2279300
Lettonie;67770;148910;64560;145020;71350;27150;24120;16090;21470;39680;36950;54270;81660;47540;22270;19830
Lituanie;108670;230490;99060;227290;94330;33270;24750;17680;15770;52910;41050;80110;125840;84770;25470;30410
Luxembourg;4600;36600;40400;48500;23500;18300;16800;42500;3400;34100;22500;21700;18400;37600;3800;13200
Malte;3320;25380;10460;26730;10620;11550;6700;9730;570;8900;10740;14600;16220;14440;4910;4550
Norvège;69000;348000;211000;370000;174000;86000;88000;50000;25000;123000;131000;192000;200000;554000;48000;48000
Pays-Bas;196000;840000;480000;1397000;383000;364000;259000;251000;74000;682000;1005000;498000;517000;1434000;160000;214000
Pologne;1852500;3536400;1144400;2220900;909700;330600;332400;383000;142600;520700;420100;1052200;1213800;938100;199500;265900
Portugal;508970;733990;283280;647810;157300;263300;74730;88700;25350;168940;275930;292250;309840;351000;39370;229410
République tchèque;167050;1433180;430910;727600;307870;200550;129180;95580;95730;275620;146500;283530;295630;313000;70900;108190
Roumanie;2590400;1769400;625300;1062200;437400;170500;143500;114700;30300;158500;176200;417600;314900;345200;53100;181900
Royaume-Uni;356000;2870000;1946000;4675000;1357000;1875000;1243000;1081000;481000;2290000;2379000;1478000;2567000;3862000;764000;820000
Slovaquie;73950;518050;166550;370000;135180;88360;57010;42380;22910;122780;87250;154700;169570;123990;26180;33400
Slovénie;77240;209500;62960;115290;47370;34450;26180;23480;5350;70970;41090;50270;67890;57680;15850;18650
Suède;109000;654000;324000;552000;251000;170000;173000;96000;75000;309000;244000;255000;467000;763000;107000;124000
