Preserving the environnment is;Do scientific discoveries make life better ;Judicature;Do French society need to change;Sex;Level of education;Socio occupational category;Age
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;employer in industry and commerce;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;senior manager;31
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;university;liberal profession;54
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;senior manager;25
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;middle manager;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;middle manager;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;university;middle manager;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;bachelor;other skilled employee;27
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;middle manager;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;other unskilled employee;79
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;other skilled employee;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;other skilled employee;43
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;none;skilled manual worker;60
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;skilled manual worker;53
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;skilled manual worker;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;skilled manual worker;26
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;38
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;32
preserving env. is low;scientific discoveries do not make life better;judiciary is very bad;yes;female;primary school;service personnel;31
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;none;undisclosed;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;bachelor;undisclosed;78
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;undisclosed;46
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;unskilled worker;25
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;undisclosed;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;no;male;university;senior manager;66
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;university;employer in industry and commerce;66
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;university;senior manager;65
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;none;skilled manual worker;66
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;no;male;bachelor;employer in industry and commerce;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;senior manager;25
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;senior manager;29
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;no;female;university;senior manager;28
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;university;middle manager;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;bachelor;middle manager;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;bachelor;middle manager;31
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;other unskilled employee;56
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;bachelor;other skilled employee;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;other;other unskilled employee;30
preserving env. is low;scientific discoveries make life much better;judiciary is pretty good;no;female;middle school;other skilled employee;25
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;middle school;other skilled employee;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;service personnel;50
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;bachelor;specialized worker;32
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;skilled manual worker;79
preserving env. is vey important;scientific discoveries do not make life better;judiciary: no opinion;yes;female;primary school;specialized worker;28
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;primary school;skilled manual worker;63
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;skilled manual worker;50
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;middle school;service personnel;19
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;university;undisclosed;31
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;bachelor;undisclosed;23
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;university;undisclosed;74
