Seance;Juge;Rang;Produit;IntensiteCouleur;IntensiteOlfactive;IntensiteDAttaque;Sucre;Acide;Amer;AromeOrange;AromeBanane;AromeMangue;AromeCitron;PersistanceGout;Pulpeux;Epaisseur
1;1;1;Ocb_;8;6;5;4;8;2;9;2;3;1;8;1;5
1;1;2;OCm;3;;8;3;9;1;9;1;6;7;7;1;8
1;1;3;MCb_;8;6;8;7;4;1;2;9;2;9;;7;9
1;1;4;obmc2;2;4;2;5;8;1;8;5;3;1;8;1;8
1;1;5;MCo;4;7;8;4;8;2;9;1;2;9;2;1;7
1;1;6;Bmc_;9;3;3;10;2;1;1;10;1;1;8;1;10
1;1;7;Obc;3;9;8;5;8;2;9;3;2;2;8;1;8
1;1;8;obmc_;8;6;2;5;4;1;5;8;1;3;2;1;9
1;1;9;Bo;4;;2;7;5;1;9;9;1;1;4;1;10
1;1;10;Bco_;7;7;7;3;9;1;6;1;9;1;8;1;7
1;1;11;Mb;5;3;2;10;3;1;4;10;1;2;3;1;10
1;1;12;BCm;2;7;3;5;6;1;1;1;3;10;7;1;8
1;1;13;Om_;10;2;;7;4;1;8;1;1;3;;1;1
1;1;14;obm_;7;4;;10;3;1;4;4;1;10;6;1;7
1;1;15;Moc_;8;4;6;3;10;1;7;4;7;2;9;1;5
1;1;16;obmc1;5;5;7;5;8;3;5;5;6;2;8;1;8
1;2;1;BCm;3;7;8;8;2;2;4;5;1;10;8;3;9
1;2;2;obm_;7;4;5;;5;2;6;2;3;3;3;1;2
1;2;3;Bco_;8;5;9;6;9;1;2;7;9;2;8;5;6
1;2;4;obmc1;2;8;8;8;6;1;7;1;4;10;8;4;4
1;2;5;obmc_;8;2;7;6;7;1;7;2;2;6;6;6;3
1;2;6;Moc_;8;7;8;5;9;4;5;3;7;3;;3;2
1;2;7;Bmc_;7;7;6;9;2;1;2;8;1;10;9;7;8
1;2;8;Om_;7;6;7;4;9;3;10;1;3;2;3;5;2
1;2;9;obmc2;2;5;6;7;7;2;9;3;3;7;8;6;6
1;2;10;Mb;3;4;7;8;4;2;7;5;2;9;9;7;7
1;2;11;OCm;2;5;8;6;9;3;6;2;10;1;;2;1
1;2;12;Bo;3;5;7;8;4;1;;4;2;8;7;6;7
1;2;13;Ocb_;6;4;;5;10;4;5;2;10;1;9;2;2
1;2;14;Obc;3;2;5;5;7;2;7;2;2;4;4;2;3
1;2;15;MCb_;7;4;6;6;6;2;7;3;2;8;9;6;6
1;2;16;MCo;3;4;8;6;9;2;10;2;2;3;3;3;2
1;3;1;Bmc_;7;7;5;8;8;3;2;9;1;9;7;3;9
1;3;2;obmc_;7;8;9;4;9;1;3;5;9;7;9;3;6
1;3;3;obmc2;4;2;2;7;5;3;7;6;2;6;4;2;5
1;3;4;Bco_;8;9;9;6;9;1;4;4;8;3;9;2;9
1;3;5;OCm;4;7;4;8;8;3;9;1;7;3;9;2;5
1;3;6;BCm;2;7;3;4;3;2;1;10;1;1;4;3;9
1;3;7;Ocb_;10;7;6;7;8;4;3;3;9;5;6;;7
1;3;8;obm_;9;8;1;5;3;3;1;9;1;9;4;3;8
1;3;9;MCb_;7;6;7;8;7;2;3;4;8;7;6;4;10
1;3;10;obmc1;4;3;4;8;5;6;7;6;2;2;7;4;7
1;3;11;MCo;5;8;5;7;9;3;4;2;7;1;5;3;4
1;3;12;Moc_;8;8;7;8;8;3;5;2;5;8;4;2;5
1;3;13;Obc;3;9;6;9;8;5;10;8;4;1;4;2;4
1;3;14;Om_;8;4;4;9;3;1;7;2;5;8;2;2;5
1;3;15;Bo;1;7;2;6;1;1;1;10;1;1;3;1;5
1;3;16;Mb;4;3;2;6;2;3;5;7;1;1;3;;5
1;4;1;Mb;6;8;5;7;2;1;4;2;1;8;5;2;7
1;4;2;Bo;3;4;4;4;4;1;8;6;1;1;2;2;4
1;4;3;Om_;9;3;7;4;4;1;9;1;5;1;6;2;3
1;4;4;Obc;5;2;;;;;4;2;8;1;4;2;3
1;4;5;Moc_;10;3;7;5;5;1;5;1;5;7;6;3;5
1;4;6;MCo;3;6;7;4;5;1;2;1;8;3;8;2;3
1;4;7;obmc1;3;4;6;6;1;1;5;7;2;1;5;3;5
1;4;8;MCb_;10;6;5;6;3;1;2;4;4;5;8;6;8
1;4;9;obm_;7;4;4;5;1;1;3;4;1;6;4;3;3
1;4;10;Ocb_;8;6;6;3;7;1;4;1;6;1;9;2;2
1;4;11;BCm;1;5;5;9;1;1;2;9;1;1;3;5;4
1;4;12;OCm;4;6;4;4;2;2;8;1;2;1;5;3;3
1;4;13;Bco_;8;6;4;5;3;1;5;7;2;1;4;3;5
1;4;14;obmc2;4;5;6;6;1;1;4;1;1;8;4;3;3
1;4;15;obmc_;9;4;5;5;2;1;6;7;1;1;3;3;5
1;4;16;Bmc_;8;4;3;9;1;1;1;10;1;8;5;5;8
1;5;1;obmc2;3;8;5;6;5;2;4;8;1;3;7;;7
1;5;2;Bmc_;7;8;8;8;2;2;1;10;1;3;8;2;8
1;5;3;OCm;3;6;7;2;9;1;9;1;10;3;4;1;2
1;5;4;obmc_;7;8;6;6;6;2;6;5;2;8;7;3;5
1;5;5;Ocb_;7;3;8;3;9;1;8;1;8;1;3;1;2
1;5;6;Bco_;9;7;9;8;8;2;6;9;7;6;8;3;9
1;5;7;MCb_;7;8;9;8;7;2;1;2;7;9;6;1;7
1;5;8;BCm;3;8;7;9;3;1;6;10;1;1;8;6;8
1;5;9;MCo;5;3;8;6;8;1;4;1;7;9;7;3;5
1;5;10;obm_;7;8;4;7;2;1;3;8;1;6;8;4;7
1;5;11;Obc;2;3;4;3;5;1;9;4;2;1;5;2;2
1;5;12;obmc1;4;6;8;5;3;1;3;4;2;9;7;3;6
1;5;13;Bo;4;8;8;8;1;1;3;9;1;2;5;4;5
1;5;14;Moc_;9;8;9;7;5;1;4;1;5;9;;3;6
1;5;15;Mb;6;8;8;9;1;1;1;1;1;10;7;2;7
1;5;16;Om_;7;4;3;2;2;1;9;1;1;1;4;1;3
1;6;1;obmc_;8;6;2;2;7;1;8;2;1;9;9;1;7
1;6;2;Bco_;9;6;4;3;10;4;7;7;7;1;9;1;7
1;6;3;Bmc_;9;9;9;10;4;1;1;9;1;7;8;2;8
1;6;4;BCm;1;7;3;6;7;1;8;9;2;7;7;1;7
1;6;5;obmc2;3;3;3;6;8;1;10;2;5;7;8;1;5
1;6;6;obm_;7;7;9;8;3;1;7;2;7;8;9;1;2
1;6;7;OCm;3;9;7;2;10;3;10;1;9;3;9;1;5
1;6;8;obmc1;3;7;4;6;8;1;8;1;9;10;8;1;7
1;6;9;Ocb_;9;8;7;6;9;2;7;1;9;8;7;1;3
1;6;10;Moc_;10;6;4;7;8;2;8;2;3;9;9;1;4
1;6;11;MCb_;8;9;7;8;8;2;6;7;4;6;10;1;8
1;6;12;Om_;10;10;9;3;4;4;6;1;2;1;6;1;5
1;6;13;MCo;2;7;6;4;7;1;2;1;2;6;9;1;5
1;6;14;Mb;2;10;8;9;4;1;4;8;2;1;7;1;8
1;6;15;Obc;2;7;9;3;4;2;10;2;1;1;8;1;3
1;6;16;Bo;1;2;7;10;2;1;2;10;2;2;6;1;8
1;7;1;MCo;2;8;5;5;7;3;7;2;5;4;7;1;5
1;7;2;MCb_;8;7;3;5;7;4;4;7;4;2;4;1;8
1;7;3;Obc;3;4;4;4;5;6;7;4;1;1;7;1;3
