Produit;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;C38;C39;C40;C41;C42;C43;C44;C45;C46;C47;C48;C49;C50;C51;C52;C53;C54;C55;C56;C57;C58;C59;C60;C61;C62;C63;C64;C65;C66;C67;C68;C69;C70;C71;C72;C73;C74;C75;C76;C77;C78;C79;C80;C81;C82;C83;C84;C85;C86;C87;C88;C89;C90;C91;C92;C93;C94;C95;C96;C97;C98;C99;C100
BCm;4;4;3;4;8;2;3;3;1;5;5;3;4;8;7;2;5;4;4;7;7;4;4;2;4;3;6;4;6;2;5;5;6;2;2;4;6;6;9;4;3;6;5;5;6;4;5;3;3;2;4;6;5;6;8;4;5;8;7;1;5;8;6;4;6;4;5;6;1;3;4;6;3;7;4;4;3;8;4;5;8;8;3;1;4;6;6;6;3;3;1;7;3;4;4;4;4;4;4;6
Bco_;4;3;6;5;7;4;1;4;1;2;3;7;1;6;6;5;5;5;3;6;5;5;6;1;2;2;1;4;2;1;2;3;5;7;2;4;3;8;9;4;1;5;8;4;3;5;4;2;2;2;6;4;6;5;2;9;4;6;9;2;5;6;2;3;3;5;2;2;3;3;3;3;6;3;5;5;4;4;4;4;7;5;3;3;8;7;3;8;4;4;3;5;2;8;7;3;6;8;4;4
Bmc_;8;7;7;7;7;7;6;5;1;7;9;7;7;5;7;8;9;8;6;9;10;6;8;7;9;4;8;7;6;5;5;8;5;7;7;7;6;8;8;5;6;5;9;7;7;1;7;4;5;5;8;6;5;2;8;6;8;7;7;3;6;8;7;9;9;5;3;7;10;10;3;3;7;4;4;7;4;8;7;5;7;5;8;8;5;9;7;8;5;9;4;7;6;10;6;5;5;7;5;4
Bo;6;3;8;2;5;5;6;3;4;5;7;5;6;8;3;10;7;9;8;6;8;4;7;6;8;8;6;7;7;6;5;5;2;7;7;3;5;6;3;10;5;1;4;4;7;10;7;10;5;8;10;9;7;3;1;7;4;8;10;8;5;7;9;7;9;5;4;8;8;8;9;5;9;7;6;5;3;7;8;3;7;3;4;6;5;8;8;7;5;5;9;9;3;8;4;5;7;4;6;3
Mb;6;8;7;9;6;8;8;2;7;6;9;4;9;10;9;10;8;8;8;7;10;7;9;8;8;3;6;9;8;7;10;7;7;2;8;9;6;5;7;9;6;7;7;8;7;6;6;3;7;5;6;10;9;3;6;8;9;8;8;8;6;6;8;9;7;6;7;9;6;8;6;6;6;6;7;8;6;8;9;4;8;6;4;2;7;8;7;7;9;7;3;8;8;8;8;5;4;8;7;5
MCb_;4;5;1;5;7;3;2;5;3;3;4;8;5;9;7;7;7;3;4;8;6;8;7;1;2;3;10;6;7;7;1;9;7;3;3;3;5;7;10;4;5;3;7;4;2;4;3;10;5;2;6;4;7;4;4;7;7;7;7;3;3;8;1;5;8;5;8;4;7;4;1;3;4;7;3;6;2;4;3;3;7;6;2;1;7;7;3;8;3;5;4;7;8;2;7;4;2;7;6;2
MCo;5;6;4;3;8;3;2;4;1;1;4;8;1;5;9;4;5;6;4;8;5;3;6;2;3;3;4;6;4;6;1;2;8;6;2;1;4;4;8;5;1;4;5;4;3;7;5;3;4;5;4;7;4;6;3;5;5;9;5;1;3;4;2;4;2;4;2;7;4;7;5;5;4;7;6;5;3;5;2;5;7;7;1;1;10;6;2;2;3;2;4;3;8;5;7;5;2;3;2;3
Moc_;6;7;6;6;6;9;4;6;5;5;6;8;5;2;9;4;7;5;8;8;7;8;3;6;6;6;10;7;7;4;7;8;8;5;3;6;6;5;7;6;8;1;9;5;5;6;7;4;4;7;9;7;8;5;8;6;7;8;7;3;4;8;5;6;6;7;5;5;8;9;6;5;1;6;6;5;6;6;7;4;7;7;2;7;8;7;6;10;7;4;9;4;8;5;7;5;9;6;7;5
Obc;2;3;4;3;4;4;3;6;10;4;6;3;8;6;8;8;7;7;6;7;4;5;9;4;5;8;6;7;4;2;4;6;4;5;4;4;6;5;6;5;5;8;5;4;4;6;6;10;8;4;7;7;5;3;5;5;6;8;5;3;3;4;4;7;5;5;4;5;4;5;5;4;7;4;4;5;5;4;5;2;7;4;2;6;3;4;7;2;4;4;4;4;7;4;5;5;5;5;5;6
obm_;7;9;8;8;4;9;8;3;6;9;9;8;7;9;6;9;3;8;9;8;9;7;7;5;9;8;9;7;8;4;3;7;8;7;8;8;7;6;6;7;6;5;6;7;8;10;7;10;8;7;8;5;8;1;8;9;8;8;8;4;4;9;7;8;1;4;6;8;3;10;10;7;7;3;7;6;6;6;8;3;8;4;6;7;9;8;6;6;9;2;9;4;6;9;6;5;8;5;8;4
