PAYS;SAUbio (%);GES (t/hab);Dechets (kg/hab);Energie (KgEP);EnergieR (%);Pesti (kg/ha);0-19 (%);20-39 (%);>60 (%);PIB/Hab (dollars);IDH;Region
Allemagne;6.82;11.4;461;692;14.885;3.92;18.3;24.5;27.4;50206;0.926;O
Autriche;21.25;9.4;497;788;33.365;2.59;19.6;26.4;24;49247;0.893;O
Belgique;5.8;10.6;448;734;8.712;6.89;22.6;25.6;24.2;46301;0.896;O
Bulgarie;3.2;8.4;394;316;18.76;1.03;18.3;26.1;27.3;19243;0.794;E
Chypre;4.94;11.3;466;394;9.859;5.53;22.5;31.4;20.5;36557;0.856;S
Croatie;6.05;5.9;271;577;28.267;1.96;20.2;25.8;26.2;23422;0.827;S
Danemark;7.81;9.3;615;808;31.837;1.07;23;24.9;24.7;49613;0.925;N
Espagne;8.48;7.4;467;327;17.427;3.63;19.8;25.4;24.3;38171;0.884;S
Estonie;18.02;15.1;327;707;28.684;1.02;20.6;27.2;25.4;31473;0.865;N
Finlande;10.47;10.9;327;972;39.011;0.7;21.8;25.2;27.2;44050;0.895;N
France;5.29;7.2;440;615;15.68;3.72;24.6;23.9;24.9;43551;0.897;O
Grèce;6.51;8.8;443;404;15.39;2.83;19.4;24.7;27.2;2776;0.866;S
Hongrie;3.48;6.3;295;627;14.315;2.17;19.6;27;25.7;28910;0.836;E
Irlande;1.72;13.4;327;564;9.258;5.78;27.6;27.9;18.2;72632;0.923;N
Italie;13.99;7.3;495;531;17.415;6.59;18.4;22.9;28;37970;0.887;S
Lettonie;13.42;6;438;584;37.138;1.33;19.6;26.4;25.9;27291;0.83;N
Lituanie;7.5;7.1;383;500;25.614;1.53;20.3;25.8;24.9;31935;0.848;N
Luxembourg;3.47;19.9;607;906;5.44;2.39;22.2;28.9;19.4;109192;0.898;O
Malte;0.21;5;386;425;6.208;6.23;19.5;29.7;24.9;42532;0.856;S
Pays-Bas;2.91;12.2;506;578;5.827;7.86;22.5;24.5;24.4;53582;0.924;O
Pologne;3.72;10.6;251;521;11.267;2.18;19.5;29.9;23.1;29251;0.855;E
Portugal;6.75;6.7;472;276;30.865;5.61;19.5;24.2;27;30258;0.843;S
Roumanie;1.67;5.8;206;376;25.032;0.72;21;26.7;24.2;23991;0.802;E
R-U;2.82;7.9;412;579;8.981;3.17;23.6;26.4;23.3;43620;0.909;N
Slovaquie;9.75;7.8;385;374;12.029;1.11;20.6;30.4;21.1;32895;0.845;E
Slovenie;9.12;8.6;306;556;21.293;4.86;19.4;25.4;25.4;34064;0.89;E
Suede;18.3;8.6;453;772;53.371;0.63;22.7;26.1;25.4;51264;0.913;N
Tchequie;14;12.4;340;671;14.93;1.75;19.7;27.5;25.1;35223;0.878;E
