Produit;Juge;Rang;intensite;frais;fleuri;sucre;boise;vanille;epice;fruite;entetant;agrume;animal;vegetal
Trésor;1;1;6;6;7;5;3;3;2;9;5;4;6;8
AmorAmor;1;2;5;5;7;5;6;2;4;8;7;9;8;6
HypnoticPoison;1;3;5;2;4;4;9;10;4;8;3;7;8;8
LolitaLempika;1;4;8;5;3;3;8;5;4;6;7;5;4;8
JAdore;1;5;9;10;10;3;3;1;4;5;10;7;3;9
CocoMademoiselle;1;6;8;3;7;6;8;2;7;6;7;7;8;8
LaPetiteRobeNoire;1;7;10;6;10;4;6;4;6;9;9;5;6;7
ChanelN5;1;8;10;10;10;9;7;3;7;3;NA;8;2;10
MissDior;1;9;8;8;9;7;9;2;7;6;9;7;8;7
Angel;1;10;6;5;5;3;8;5;8;9;5;6;6;7
Flower;1;11;6;9;9;7;7;3;7;8;5;6;6;8
Shalimar;1;12;7;7;6;6;3;3;3;8;6;10;4;9
AmorAmor;2;1;6;8;8;7;5;3;0;7;4;6;0;5
LolitaLempika;2;2;8;6;3;10;6;10;7;3;9;1;7;3
Trésor;2;3;8;3;5;6;6;6;4;3;9;3;8;3
CocoMademoiselle;2;4;8;6;4;7;7;4;4;7;10;2;8;3
HypnoticPoison;2;5;4;0;9;4;5;1;1;5;10;3;0;7
ChanelN5;2;6;7;8;8;4;4;2;2;6;6;7;5;7
JAdore;2;7;8;8;10;9;5;8;8;7;10;5;9;8
Angel;2;8;10;2;10;3;8;0;3;2;8;7;5;8
LaPetiteRobeNoire;2;9;8;8;4;10;6;8;8;8;10;3;9;2
Shalimar;2;10;9;3;10;4;8;0;10;2;10;3;2;10
MissDior;2;11;8;10;9;9;2;5;4;8;8;7;9;8
Flower;2;12;6;3;8;3;9;3;5;4;9;4;2;10
LolitaLempika;3;1;8;5;6;9;0;8;2;1;6;2;2;5
CocoMademoiselle;3;2;9;7;8;2;0;1;3;5;4;3;0;2
AmorAmor;3;3;8;3;4;8;0;5;1;2;7;2;0;0
ChanelN5;3;4;6;7;8;2;0;0;1;1;6;5;2;4
Trésor;3;5;3;3;1;8;3;1;1;1;3;1;0;3
Angel;3;6;10;0;3;8;2;8;7;2;9;0;3;2
HypnoticPoison;3;7;7;1;2;3;3;5;7;1;8;1;6;0
Shalimar;3;8;9;2;7;5;2;6;7;2;10;6;2;3
JAdore;3;9;6;8;7;4;1;1;1;3;6;0;0;2
Flower;3;10;7;2;2;2;1;2;2;1;6;1;1;0
LaPetiteRobeNoire;3;11;10;0;2;6;0;7;7;1;9;1;4;5
MissDior;3;12;6;6;9;5;7;4;4;1;5;2;4;3
CocoMademoiselle;4;1;8;5;8;8;4;5;2;7;8;4;1;7
ChanelN5;4;2;9;9;7;1;2;2;2;2;9;5;2;9
LolitaLempika;4;3;7;7;6;9;2;7;3;8;9;6;2;2
Angel;4;4;6;5;7;2;7;2;4;6;6;7;2;9
AmorAmor;4;5;7;5;3;10;2;5;3;6;8;3;1;4
Shalimar;4;6;9;9;2;2;2;5;8;7;9;3;2;4
Trésor;4;7;3;4;7;7;3;5;2;8;5;6;2;2
Flower;4;8;5;5;8;4;8;2;2;5;6;5;2;3
HypnoticPoison;4;9;8;4;4;6;3;8;5;5;8;2;2;4
MissDior;4;10;7;9;5;2;2;3;2;7;8;5;2;4
JAdore;4;11;6;5;7;4;4;5;4;4;7;5;2;6
LaPetiteRobeNoire;4;12;7;5;5;7;4;6;4;8;7;5;2;3
ChanelN5;5;1;6;8;3;2;1;1;2;4;7;5;1;8
Angel;5;2;8;7;9;7;6;1;1;8;3;8;1;8
CocoMademoiselle;5;3;6;8;6;8;7;2;2;6;4;8;1;8
Shalimar;5;4;3;3;3;NA;8;7;7;4;2;4;6;2
LolitaLempika;5;5;7;8;7;5;5;2;2;7;6;7;1;7
Flower;5;6;7;9;9;7;4;7;2;9;7;9;1;9
AmorAmor;5;7;9;9;7;6;8;6;5;8;5;10;2;8
MissDior;5;8;8;5;7;9;7;7;6;8;5;7;7;6
Trésor;5;9;9;4;4;6;8;7;7;7;8;5;9;1
LaPetiteRobeNoire;5;10;8;9;9;9;10;8;7;4;8;8;1;8
HypnoticPoison;5;11;9;3;5;6;9;8;9;3;7;3;8;8
JAdore;5;12;7;9;8;5;8;7;5;8;7;8;3;8
Angel;6;1;6;9;8;7;0;0;0;0;4;0;0;6
Shalimar;6;2;5;3;2;2;9;0;0;0;9;0;4;0
ChanelN5;6;3;3;6;8;9;0;0;0;9;8;6;0;5
Flower;6;4;4;4;5;5;0;0;0;7;7;9;0;4
CocoMademoiselle;6;5;8;6;8;7;0;0;0;9;5;9;0;4
MissDior;6;6;8;7;7;7;0;2;0;8;8;7;0;3
LolitaLempika;6;7;8;8;8;8;0;0;0;6;5;7;0;3
LaPetiteRobeNoire;6;8;9;8;7;6;2;3;0;8;9;10;0;4
AmorAmor;6;9;9;7;8;7;0;0;8;8;10;9;0;2
JAdore;6;10;9;7;6;7;0;0;7;9;7;10;0;1
Trésor;6;11;8;6;1;10;0;10;0;2;7;6;3;2
HypnoticPoison;6;12;7;2;0;1;4;5;2;2;9;0;8;0
Shalimar;7;1;6;8;4;5;6;1;4;4;5;2;1;6
Flower;7;2;5;5;6;6;2;3;5;5;5;4;2;5
Angel;7;3;6;4;8;8;6;6;3;7;7;6;2;8
MissDior;7;4;5;5;7;6;6;6;5;7;6;6;2;6
ChanelN5;7;5;7;8;6;3;4;2;2;4;9;4;2;8
LaPetiteRobeNoire;7;6;6;8;7;9;6;7;6;7;5;6;2;7
CocoMademoiselle;7;7;5;5;6;6;4;4;5;5;5;7;2;6
JAdore;7;8;6;8;7;6;5;3;4;4;6;6;2;3
LolitaLempika;7;9;5;5;7;7;4;4;5;5;6;5;2;5
HypnoticPoison;7;10;6;5;5;5;6;4;6;3;5;2;3;3
AmorAmor;7;11;5;8;5;2;2;2;2;2;2;3;2;3
Trésor;7;12;7;6;6;5;5;2;5;5;6;2;3;6
Flower;8;1;6;6;7;6;1;6;3;7;3;4;1;8
MissDior;8;2;8;6;6;7;5;5;3;7;8;6;6;6
Shalimar;8;3;8;6;6;8;6;2;3;5;10;4;6;2
LaPetiteRobeNoire;8;4;7;7;7;7;4;5;2;8;2;9;5;8
Angel;8;5;7;3;2;8;8;5;7;3;9;2;8;3
JAdore;8;6;3;6;9;7;7;3;1;4;0;4;1;9
ChanelN5;8;7;4;3;5;3;8;5;8;3;5;3;5;3
HypnoticPoison;8;8;5;6;6;9;1;9;0;5;5;5;2;3
CocoMademoiselle;8;9;7;7;8;6;6;2;2;5;6;6;4;8
Trésor;8;10;3;4;8;7;5;3;2;5;6;2;7;5
LolitaLempika;8;11;8;7;9;9;3;5;2;6;6;8;4;8
AmorAmor;8;12;4;8;8;6;1;2;3;8;5;8;1;8
MissDior;9;1;8;2;6;7;8;5;7;3;9;2;8;4
LaPetiteRobeNoire;9;2;9;5;6;9;1;7;2;8;9;3;4;7
Flower;9;3;8;2;5;3;2;8;2;6;8;3;7;3
JAdore;9;4;7;10;10;2;8;2;2;2;9;8;8;10
Shalimar;9;5;2;2;2;5;8;9;4;6;4;3;2;2
HypnoticPoison;9;6;9;2;2;7;9;3;4;3;9;6;9;9
Angel;9;7;9;1;2;9;8;8;8;3;9;6;9;9
Trésor;9;8;9;7;2;2;8;2;8;2;10;8;8;7
ChanelN5;9;9;8;9;8;2;9;2;2;2;9;9;9;3
AmorAmor;9;10;10;5;8;9;2;1;3;9;7;9;2;2
CocoMademoiselle;9;11;8;4;3;8;8;2;8;9;9;9;9;3
LolitaLempika;9;12;9;3;6;9;7;8;2;6;8;2;3;2
LaPetiteRobeNoire;10;1;6;5;3;8;7;9;8;5;6;2;0;3
JAdore;10;2;8;4;8;4;0;0;0;2;8;7;0;10
MissDior;10;3;7;6;6;6;0;7;5;7;6;8;0;7
HypnoticPoison;10;4;9;2;1;6;9;9;3;4;10;2;3;1
Flower;10;5;6;7;7;8;7;9;1;6;8;6;0;6
Trésor;10;6;10;6;5;9;6;3;2;1;7;6;3;2
Shalimar;10;7;10;8;2;1;4;0;5;10;8;10;0;4
AmorAmor;10;8;6;5;7;6;0;4;0;8;9;3;0;2
Angel;10;9;7;6;10;6;7;3;0;1;4;7;0;8
LolitaLempika;10;10;8;6;8;8;0;4;6;6;7;7;0;8
ChanelN5;10;11;9;3;10;1;7;0;1;2;10;2;5;10
CocoMademoiselle;10;12;7;10;6;4;3;4;3;6;8;7;0;7
JAdore;11;1;7;8;9;8;5;3;3;7;5;4;2;8
HypnoticPoison;11;2;7;5;5;7;7;7;5;7;8;1;8;4
LaPetiteRobeNoire;11;3;8;8;5;7;3;2;6;9;5;10;NA;9
Trésor;11;4;9;2;6;8;2;5;7;8;10;3;8;5
MissDior;11;5;9;7;8;6;2;7;7;6;9;1;9;4
AmorAmor;11;6;3;7;8;8;4;2;2;5;7;4;4;7
Flower;11;7;8;4;6;10;3;8;7;7;8;2;8;6
LolitaLempika;11;8;7;7;8;4;2;2;2;5;8;2;4;5
Shalimar;11;9;9;3;1;1;10;6;9;1;8;1;9;4
CocoMademoiselle;11;10;9;8;9;6;2;2;2;7;7;2;3;6
Angel;11;11;10;1;1;10;2;9;10;5;10;0;9;1
ChanelN5;11;12;3;7;8;7;2;3;2;8;6;2;3;8
HypnoticPoison;12;1;4;2;3;8;3;8;6;9;8;1;7;3
Trésor;12;2;5;5;7;3;2;5;4;6;8;2;4;7
JAdore;12;3;6;8;8;4;2;1;3;3;6;4;3;8
AmorAmor;12;4;7;7;7;5;4;3;6;6;5;4;2;7
LaPetiteRobeNoire;12;5;8;3;4;7;4;6;5;3;8;1;5;5
LolitaLempika;12;6;1;3;4;8;5;5;2;5;3;4;6;2
MissDior;12;7;8;5;7;5;4;3;6;7;9;1;5;5
CocoMademoiselle;12;8;8;5;5;5;6;4;7;6;8;7;4;7
Flower;12;9;10;1;4;10;7;9;6;1;10;1;9;1
ChanelN5;12;10;9;5;6;6;10;4;9;7;10;4;7;10
Shalimar;12;11;1;5;6;7;4;5;1;2;0;1;6;2
Angel;12;12;7;7;7;5;2;3;5;5;7;4;3;7
LolitaLempika;13;1;7;6;6;8;8;4;2;5;7;8;2;5
ChanelN5;13;2;7;8;9;6;6;5;7;7;8;7;3;6
JAdore;13;3;7;9;8;8;3;4;2;7;4;7;3;3
HypnoticPoison;13;4;7;8;8;9;3;8;7;8;8;2;3;5
CocoMademoiselle;13;5;8;6;8;6;7;3;7;5;9;4;5;6
Shalimar;13;6;8;9;8;9;4;8;7;8;8;7;2;3
Angel;13;7;8;8;8;6;5;6;4;6;5;6;3;4
LaPetiteRobeNoire;13;8;6;6;7;9;2;6;3;8;7;3;1;2
Flower;13;9;8;8;7;7;6;3;5;7;7;4;2;4
Trésor;13;10;5;4;8;5;4;2;3;4;6;7;6;7
MissDior;13;11;7;8;7;6;4;3;4;6;8;6;3;5
AmorAmor;13;12;4;7;7;6;7;6;4;6;7;8;4;5
ChanelN5;14;1;8;6;9;6;5;8;3;3;8;4;3;8
HypnoticPoison;14;2;4;6;7;7;5;8;4;4;5;3;2;5
LolitaLempika;14;3;7;5;7;7;4;7;3;6;7;7;4;6
Shalimar;14;4;7;6;8;7;6;6;4;8;8;7;6;5
JAdore;14;5;6;7;6;6;5;4;2;5;4;6;2;4
LaPetiteRobeNoire;14;6;7;6;4;4;7;8;4;6;6;6;2;5
CocoMademoiselle;14;7;6;7;7;7;5;5;3;6;7;8;2;4
Trésor;14;8;4;6;6;6;4;6;2;4;4;5;2;4
Angel;14;9;8;5;8;7;7;6;6;4;8;6;7;6
AmorAmor;14;10;6;6;7;7;3;5;3;6;5;7;2;4
Flower;14;11;4;5;5;5;4;5;1;2;3;2;3;5
MissDior;14;12;6;6;6;7;4;3;1;4;6;7;2;4
HypnoticPoison;15;1;8;6;5;8;0;6;6;4;0;3;0;2
Shalimar;15;2;10;4;3;4;9;3;5;3;9;4;0;7
ChanelN5;15;3;10;4;8;4;0;4;7;6;9;7;0;3
LaPetiteRobeNoire;15;4;7;4;3;8;0;2;4;9;9;9;0;0
LolitaLempika;15;5;8;4;8;9;4;9;4;3;8;1;0;0
Trésor;15;6;3;5;8;6;1;6;8;1;1;0;0;0
JAdore;15;7;3;5;1;1;0;1;2;0;9;5;0;3
AmorAmor;15;8;0;4;0;7;1;3;4;8;2;9;0;0
