;Janv;Fev;Mar;Avr;Mai;Juin;Juil;Aout;Sept;Oct;Nov;Dec;Moy;Amplitude;Region
Bizerte;12,3;11,9;13,5;15,6;18,6;22,4;25,3;25,9;23,7;21,1;16,8;13,7;18,4;14;Nord
Cebbala;9,2;9,8;13,1;16,6;20,7;25,5;28,9;28,2;23,9;19,8;14;10,2;18,3;19,7;Desert
Chebba;12,3;12,5;14,7;17,3;20,6;24,3;27,2;27,6;25,3;22,3;17,6;13,7;19,6;15,3;Nord
Gabès;12,3;13,1;15,9;18,9;22;25,5;28,3;28,9;26,9;23,6;18,1;13,6;20,6;16,6;cote centrale
Kairouan;10,8;11,4;14,4;17,6;21,6;26,2;29,3;29,1;25,4;21,3;15,9;12;19,6;18,5;Nord
Kasserine;6,7;7,3;10,8;14,5;18,7;23,6;27,1;26,3;21,6;17,5;11,4;7,7;16,1;20,4;Desert
Korba;12,3;11,9;13,6;15,7;18,8;22,8;25,7;26,3;24;21,2;17;13,7;18,6;14,4;Nord
Medenine;11,4;12,5;16;19,3;22,5;25,9;28,6;28,7;26,5;22,9;17,1;12,5;20,3;17,3;cote centrale
Nabeul;12,2;11,9;13,6;15,8;18,9;22,7;25,7;26,3;24,1;21,3;17,1;13,7;18,6;14,4;Nord
Sfax;11,5;12;14,6;17,4;20,7;24,5;27,4;27,7;25,3;22;16,9;12,8;19,4;16,2;cote centrale
Sidi Bouzid;9,5;10,2;13,5;16,9;21;25,6;28,9;28,3;24,3;20,3;14,5;10,6;18,6;19,4;Desert
Sousse;11,6;11,9;14,6;17,4;21;25,1;28,2;28,2;25,2;21,7;16,6;12,7;19,5;16,6;Nord
Tabarka;10;9,8;11,9;14,3;17,6;21,7;24,8;25,2;22,3;19,3;14,5;11,3;16,9;15,4;Nord
Tataouine;10,5;11,6;15,3;19,1;22,5;25,9;28,6;28,6;26,1;22,2;16,3;11,6;19,9;18,1;Desert
Tunis;11,4;11,3;13,5;16,1;19,6;23,9;26,9;27,1;24,2;21;16,2;12,7;18,7;15,8;Nord
Zarzis;12,6;13,2;16;18,8;21,7;24,8;27,4;28;26,6;23,4;18,3;14;20,4;15,4;cote centrale
