Bloc;Dose 1cm;Variété;Fractiont;Rdt;NG/m²;P1000g;QNgrain;QNveg;QNtot;INN;Prot;RdtP;NG/m²P;P1000gP;QNgrainP;QNvegP;QNtotP;INNP;ProtP;
1;0;L;1;45,19;10505;43,0;63,7;27,5;91,2;0,699;8,04;41,23;8572;48,1;77,5;30,5;108,0;0,717;10,71;
2;0;L;1;30,51;7109;42,9;46,7;18,0;64,7;0,721;8,72;41,23;8572;48,1;77,5;30,5;108,0;0,717;10,71;
1;0;M;1;35,21;7605;46,3;59,5;25,0;84,5;0,704;9,63;33,75;5992;56,3;73,2;34,5;107,7;0,680;12,36;
2;0;M;1;33,30;7814;42,6;54,6;22,2;76,9;0,711;9,35;33,75;5992;56,3;73,2;34,5;107,7;0,680;12,36;
1;0;N;1;24,96;5842;42,7;45,2;16,4;61,6;0,733;10,32;37,96;7838;48,4;74,8;33,1;107,9;0,693;11,23;
2;0;N;1;30,48;7215;42,2;54,6;19,2;73,8;0,740;10,20;37,96;7838;48,4;74,8;33,1;107,9;0,693;11,23;
1;0;NF;1;35,91;8554;42,0;55,3;21,0;76,3;0,725;8,78;40,79;8253;49,4;79,4;29,7;109,1;0,728;11,10;
2;0;NF;1;31,97;7050;45,3;48,9;15,7;64,6;0,757;8,72;40,79;8253;49,4;79,4;29,7;109,1;0,728;11,10;
1;0;L;2;27,10;6495;41,7;46,3;15,6;62,0;0,748;9,75;44,20;8977;49,2;104,7;51,3;156,0;0,671;13,51;
2;0;L;2;29,95;7104;42,2;53,3;23,1;76,5;0,697;10,15;44,20;8977;49,2;104,7;51,3;156,0;0,671;13,51;
1;0;M;2;39,94;9693;41,2;76,3;27,1;103,4;0,738;10,89;35,36;6276;56,3;97,7;58,1;155,7;0,627;15,74;
2;0;M;2;27,91;6331;44,1;55,3;33,4;88,6;0,623;11,29;35,36;6276;56,3;97,7;58,1;155,7;0,627;15,74;
1;0;N;2;29,42;7141;41,2;57,7;47,0;104,7;0,551;11,17;40,05;8208;48,8;100,2;55,7;155,9;0,643;14,27;
2;0;N;2;33,36;7787;42,8;68,1;30,9;98,9;0,688;11,63;40,05;8208;48,8;100,2;55,7;155,9;0,643;14,27;
1;0;NF;2;35,20;7702;45,7;64,8;28,4;93,2;0,695;10,49;43,60;8653;50,4;107,5;49,7;157,1;0,684;14,05;
2;0;NF;2;40,90;9937;41,2;79,3;49,1;128,5;0,618;11,06;43,60;8653;50,4;107,5;49,7;157,1;0,684;14,05;
1;0;L;3;27,08;6711;40,4;59,0;24,2;83,2;0,709;12,43;42,10;8572;49,1;120,3;35,7;156,0;0,771;16,29;
2;0;L;3;42,79;9525;44,9;98,4;32,5;130,9;0,752;13,11;42,10;8572;49,1;120,3;35,7;156,0;0,771;16,29;
1;0;M;3;22,51;5066;44,4;49,3;19,0;68,3;0,721;12,48;33,76;5992;56,3;115,1;40,7;155,7;0,739;19,43;
