;pain-céréales;viandes;poissons-fruits de mer;lait-fromages-oeufs;huiles-graisses;fruits;légumes;sucre-produits sucrés;autres produits alimentaires;café-thé-cacao;eaux-boissons-jus;autres dépenses alimentation;boissons alcoolisées;restauration;tabac;habillement-articles chaussants;logement-eau-gaz-électricité;ameublement-équipement ménager;santé;transports;communications;loisirs-culture;enseignement;services-hébergement;autres biens-services;hors champ consommation finale;total produits alimentaires;total alimentation;total non alimentaire;dépense totale;Restaurants;Cafés bars et assimilés;Cantines;Autres dépenses de restauration
Moins de 25 ans;545;405;64;297;34;84;177;139;108;39;137;103;188;1185;518;1618;5855;1239;415;3474;1042;1715;354;70;1856;2585;2321;3506;18156;21662;237;427;419;102
De 25 à 34 ans ;741;734;153;522;56;156;297;230;187;78;204;151;233;1663;463;2690;5693;2000;805;4750;1214;2452;76;135;3656;7548;3742;5404;23935;29339;458;470;609;125
De 35 à 44 ans ;1005;1079;231;691;88;223;410;319;163;110;248;202;322;1867;502;2950;4681;2309;987;5551;1134;2872;272;270;3694;10474;5091;6958;25223;32181;418;381;932;135
De 45 à 54 ans ;944;1199;291;662;96;279;430;297;130;118;241;235;487;1761;436;2668;4526;2243;1054;5505;1257;2985;456;317;3716;11365;5410;7171;25163;32334;496;362;742;161
De 55 à 64 ans ;769;1167;325;613;102;305;443;253;126;109;209;184;481;1102;249;2080;3982;2187;1155;4818;961;2775;112;190;3632;10667;5087;6189;22141;28331;438;234;283;147
De 65 à 74 ans ;668;1061;286;525;111;315;410;219;97;90;161;141;450;608;85;1234;3630;1697;981;2845;650;2131;11;138;3207;6942;4535;5143;16609;21752;291;175;34;107
75 ans et plus ;562;912;251;422;90;294;336;175;81;88;118;99;301;531;57;716;3493;1418;1015;1292;513;1311;6;73;2537;5486;3728;4259;12431;16690;263;154;39;76
Ensemble;795;1015;250;574;89;254;384;251;132;98;200;172;376;1320;328;2132;4428;1986;981;4285;989;2460;189;195;3384;8798;4590;5910;21357;27267;0;0;0;0
D1;581;687;132;382;67;169;272;171;91;62;148;73;225;532;299;1272;4072;875;486;1723;727;1019;118;61;1951;2175;3061;3593;12604;16197;0;0;0;0
D2;665;770;175;466;78;192;291;202;100;68;162;75;199;579;350;1256;4441;1051;537;2089;796;1279;134;69;2155;3056;3443;4023;14157;18180;0;0;0;0
D3;713;926;190;515;90;213;337;210;113;81;174;95;291;868;347;1517;4363;1188;959;3067;806;1469;138;115;2481;4261;3945;4813;16450;21263;0;0;0;0
D4;763;947;210;540;87;219;338;241;126;90;185;108;277;879;393;1638;4355;1618;879;3659;895;1803;136;118;2635;5020;4130;5008;18130;23138;0;0;0;0
D5;795;1040;223;556;89;237;367;243;136;91;197;143;366;1037;373;1867;4296;1677;865;3712;994;2076;125;139;3211;6169;4483;5520;19334;24853;0;0;0;0
D6;823;988;234;591;85;237;358;247;144;97;208;164;367;1201;329;2005;4270;1806;892;4651;966;2219;169;160;3222;7245;4543;5744;20687;26431;0;0;0;0
D7;887;1107;265;642;95;263;407;286;143;115;229;177;397;1444;349;2422;4366;2305;1028;4932;1132;2679;247;205;3740;9046;5014;6458;23405;29863;0;0;0;0
D8;913;1151;305;663;98;283;443;282;153;119;234;234;418;1736;315;2613;4501;2296;1086;5411;1147;3160;207;277;4028;10041;5296;7032;25041;32073;0;0;0;0
D9;892;1198;339;676;94;340;474;303;152;117;231;265;498;2155;294;2897;4466;2734;1306;6148;1199;3926;236;344;4684;14281;5579;7734;28234;35968;0;0;0;0
D10;913;1342;427;713;103;386;549;329;159;142;236;390;720;2768;232;3837;5147;4312;1776;7458;1230;4968;377;464;5737;26695;6409;9177;35538;44715;0;0;0;0
