;Region;Mammiferes;Oiseaux;Reptiles;Amphibiens;  Poissons eau douce;Plantes vasculaires
Allemagne;Ouest;93;264;13;22;93;3272
Autriche;Ouest;101;242;14;20;84;2950
Belgique;Ouest;84;198;10;19;43;1818
Danemark;Nord;67;209;8;15;55;2909
Espagne;Sud;115;336;84;39;85;7069
Estonie;Nord;65;377;2;9;41;1928
Finlande;Nord;75;248;5;7;69;1240
France;Ouest;125;391;38;35;65;994
Grece;Sud;115;440;66;23;154;5850
Hongrie;Est;87;435;15;18;81;2721
Irlande;Nord;57;478;3;3;28;1050
Italie;Sud;126;267;56;44;97;6711
Lettonie;Nord;62;233;7;13;45;1937
Lituanie;Nord;68;389;7;13;54;1334
Norvege;Nord;89;264;6;6;47;3243
Pays-Bas;Ouest;53;168;7;16;40;1395
Pologne;Est;112;451;11;18;70;3087
Slovaquie;Est;90;211;12;18;79;3619
Republique tcheque;Est;91;210;13;22;65;3557
Royaume-Uni;Nord;101;272;33;20;20;2951
Russie;Est;320;732;75;27;277;11400
Slovenie;Sud;89;380;24;21;85;3452
Suede;Nord;65;257;6;13;42;1561
Suisse;Ouest;83;205;19;19;70;2613
