Pays;Annee_civile;Annee;G;L;H;Rdt
Belgium;2003;1;1;0;1;2.687
Iceland_a;2003;1;1;0;1;2.816
Sweden_a;2003;1;1;0;1;2.611
Belgium;2004;2;1;0;1;3.436
France;2004;1;1;0;1;3.09
Iceland_a;2004;2;1;0;1;1.883
Norway_a;2004;1;1;0;1;1.382
Sweden_a;2004;2;1;0;1;1.031
Sweden_b;2004;1;1;0;1;0.832
Belgium;2005;3;1;0;1;3.299
France;2005;2;1;0;1;4.773
Iceland_a;2005;3;1;0;1;1.668
Norway_a;2005;2;1;0;1;1.684
Sweden_a;2005;3;1;0;1;0.607
Sweden_b;2005;2;1;0;1;0.516
France;2006;3;1;0;1;4.021
Norway_a;2006;3;1;0;1;2.306
Sweden_b;2006;3;1;0;1;0.548
Belgium;2003;1;1;0;1;2.966
Iceland_a;2003;1;1;0;1;1.175
Sweden_a;2003;1;1;0;1;3.807
Belgium;2004;2;1;0;1;3.996
France;2004;1;1;0;1;1.632
Iceland_a;2004;2;1;0;1;0.521
Norway_a;2004;1;1;0;1;5.349
Sweden_a;2004;2;1;0;1;2.572
Sweden_b;2004;1;1;0;1;1.215
Belgium;2005;3;1;0;1;3.793
France;2005;2;1;0;1;2.549
Iceland_a;2005;3;1;0;1;0.423
Norway_a;2005;2;1;0;1;3.534
Sweden_a;2005;3;1;0;1;1.924
Sweden_b;2005;2;1;0;1;0.551
France;2006;3;1;0;1;1.935
Norway_a;2006;3;1;0;1;3.604
Sweden_b;2006;3;1;0;1;0.605
Belgium;2003;1;1;0;1;2.465
Iceland_a;2003;1;1;0;1;1.362
Sweden_a;2003;1;1;0;1;2.621
Belgium;2004;2;1;0;1;4.41
France;2004;1;1;0;1;1.791
Iceland_a;2004;2;1;0;1;1.405
Norway_a;2004;1;1;0;1;1.337
Sweden_a;2004;2;1;0;1;1.96
Sweden_b;2004;1;1;0;1;1.842
Belgium;2005;3;1;0;1;3.526
France;2005;2;1;0;1;2.912
Iceland_a;2005;3;1;0;1;0.974
Norway_a;2005;2;1;0;1;1.354
Sweden_a;2005;3;1;0;1;1.456
Sweden_b;2005;2;1;0;1;0.994
France;2006;3;1;0;1;2.155
Norway_a;2006;3;1;0;1;1.645
Sweden_b;2006;3;1;0;1;0.955
Belgium;2003;1;1;0;1;2.189
Iceland_a;2003;1;1;0;1;1.253
Sweden_a;2003;1;1;0;1;4.24
Belgium;2004;2;1;0;1;4.342
France;2004;1;1;0;1;2.078
Iceland_a;2004;2;1;0;1;0.989
Norway_a;2004;1;1;0;1;4.301
Sweden_a;2004;2;1;0;1;4.063
Sweden_b;2004;1;1;0;1;1.909
Belgium;2005;3;1;0;1;3.516
France;2005;2;1;0;1;3.281
Iceland_a;2005;3;1;0;1;0.993
Norway_a;2005;2;1;0;1;4.274
Sweden_a;2005;3;1;0;1;3.325
Sweden_b;2005;2;1;0;1;0.976
France;2006;3;1;0;1;2.438
Norway_a;2006;3;1;0;1;4.096
Sweden_b;2006;3;1;0;1;1.296
Belgium;2003;1;0;1;1;3.919
Iceland_a;2003;1;0;1;1;3.406
Sweden_a;2003;1;0;1;1;2.94
Belgium;2004;2;0;1;1;6.671
France;2004;1;0;1;1;3.244
Iceland_a;2004;2;0;1;1;2.259
Norway_a;2004;1;0;1;1;5.031
Sweden_a;2004;2;0;1;1;2.252
Sweden_b;2004;1;0;1;1;3.908
Belgium;2005;3;0;1;1;3.654
France;2005;2;0;1;1;5.077
Iceland_a;2005;3;0;1;1;2.055
Norway_a;2005;2;0;1;1;2.599
Sweden_a;2005;3;0;1;1;0.927
Sweden_b;2005;2;0;1;1;2.003
France;2006;3;0;1;1;4.341
Norway_a;2006;3;0;1;1;1.641
Sweden_b;2006;3;0;1;1;1.102
Belgium;2003;1;0;1;1;3.583
Iceland_a;2003;1;0;1;1;1.014
Sweden_a;2003;1;0;1;1;3.582
Belgium;2004;2;0;1;1;6.931
France;2004;1;0;1;1;2.89
Iceland_a;2004;2;0;1;1;0.667
Norway_a;2004;1;0;1;1;5.084
Sweden_a;2004;2;0;1;1;2.806
Sweden_b;2004;1;0;1;1;3.746
Belgium;2005;3;0;1;1;4.386
France;2005;2;0;1;1;4.444
Iceland_a;2005;3;0;1;1;0.952
Norway_a;2005;2;0;1;1;3.005
Sweden_a;2005;3;0;1;1;1.855
Sweden_b;2005;2;0;1;1;2.451
France;2006;3;0;1;1;3.508
Norway_a;2006;3;0;1;1;2.334
Sweden_b;2006;3;0;1;1;1.246
Belgium;2003;1;0.8;0.2;2.56;4.722
Iceland_a;2003;1;0.8;0.2;2.56;2.965
Sweden_a;2003;1;0.8;0.2;2.56;2.592
Belgium;2004;2;0.8;0.2;2.56;6.975
France;2004;1;0.8;0.2;2.56;2.315
Iceland_a;2004;2;0.8;0.2;2.56;2.221
Norway_a;2004;1;0.8;0.2;2.56;4.344
Sweden_a;2004;2;0.8;0.2;2.56;3.504
Sweden_b;2004;1;0.8;0.2;2.56;2.4
Belgium;2005;3;0.8;0.2;2.56;4.741
France;2005;2;0.8;0.2;2.56;3.885
Iceland_a;2005;3;0.8;0.2;2.56;1.722
Norway_a;2005;2;0.8;0.2;2.56;2.81
Sweden_a;2005;3;0.8;0.2;2.56;2.918
Sweden_b;2005;2;0.8;0.2;2.56;2.363
France;2006;3;0.8;0.2;2.56;2.76
Norway_a;2006;3;0.8;0.2;2.56;3.238
Sweden_b;2006;3;0.8;0.2;2.56;1.758
Belgium;2003;1;0.8;0.2;2.56;3.965
Iceland_a;2003;1;0.8;0.2;2.56;1.398
Sweden_a;2003;1;0.8;0.2;2.56;3.924
Belgium;2004;2;0.8;0.2;2.56;6.649
France;2004;1;0.8;0.2;2.56;2.362
Iceland_a;2004;2;0.8;0.2;2.56;1.097
Norway_a;2004;1;0.8;0.2;2.56;5.26
Sweden_a;2004;2;0.8;0.2;2.56;4.231
Sweden_b;2004;1;0.8;0.2;2.56;2.641
Belgium;2005;3;0.8;0.2;2.56;4.776
France;2005;2;0.8;0.2;2.56;3.65
Iceland_a;2005;3;0.8;0.2;2.56;1.192
Norway_a;2005;2;0.8;0.2;2.56;4.539
Sweden_a;2005;3;0.8;0.2;2.56;3.744
Sweden_b;2005;2;0.8;0.2;2.56;2.485
France;2006;3;0.8;0.2;2.56;2.767
Norway_a;2006;3;0.8;0.2;2.56;4.255
Sweden_b;2006;3;0.8;0.2;2.56;1.959
Belgium;2003;1;0.8;0.2;3.3;3.916
Iceland_a;2003;1;0.8;0.2;3.3;3.155
Sweden_a;2003;1;0.8;0.2;3.3;3.05
Belgium;2004;2;0.8;0.2;3.3;6.924
France;2004;1;0.8;0.2;3.3;2.201
Iceland_a;2004;2;0.8;0.2;3.3;1.804
Norway_a;2004;1;0.8;0.2;3.3;4.096
Sweden_a;2004;2;0.8;0.2;3.3;3.15
Sweden_b;2004;1;0.8;0.2;3.3;2.585
Belgium;2005;3;0.8;0.2;3.3;4.814
France;2005;2;0.8;0.2;3.3;3.528
Iceland_a;2005;3;0.8;0.2;3.3;1.511
Norway_a;2005;2;0.8;0.2;3.3;3.143
Sweden_a;2005;3;0.8;0.2;3.3;3.001
Sweden_b;2005;2;0.8;0.2;3.3;2.491
France;2006;3;0.8;0.2;3.3;2.807
