Consommateur;Produit;Appréciation;Ferme;Juteux;Sucré;Amer;Odeur intense;Acide;Croquant;Goûteux;Granuleux;Mou;Sans odeur;Sans goût;Farineux;Goût de pomme;Astringent
1;106;8;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
1;257;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;366;7;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
1;548;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;992;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;Ideal;;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0
2;106;9;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0
2;257;5;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0
2;366;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
2;548;7;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0
2;992;3;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0
2;Ideal;;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0
3;106;3;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
3;257;8;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0
3;366;5;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
3;548;8;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0
3;992;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
3;Ideal;;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0
4;106;7;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0
4;257;9;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0
4;366;6;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
4;548;9;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0
4;992;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
4;Ideal;;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0
5;106;5;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
5;257;7;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0
5;366;4;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
5;548;6;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
5;992;4;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0
5;Ideal;;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0
6;106;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
6;257;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0
6;366;9;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0
6;548;5;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
6;992;9;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0
6;Ideal;;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0
7;106;5;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1
7;257;9;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0
7;366;6;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
7;548;6;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0
7;992;2;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0
7;Ideal;;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0
8;106;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
8;257;8;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0
8;366;6;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
8;548;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
8;992;3;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
8;Ideal;;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0
9;106;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
9;257;8;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
9;366;7;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0
9;548;6;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0
