KIDEN	juge	rang	Produit	O pom crue	O pom cuite	S sucre	S acide	S amer	S pom crue	S pom verte 1	S pom verte 2	S pom cuite	S vanille	S ss bois	S astringent	T lisse	T fluide	T nappant	A clarte	A jaune	A vert	A brun	A brillant	A phase aqueuse	A granuleux	A fluide	Note hedonique 1	Note hedonique 2
113	juge1	rang 1	Andros	4,00	4,00	3,00	7,00	0,00	7,00	7,00	8,00	2,00	0,00	0,00	4,00	5,00	5,00	5,00	8,00	6,00	4,00	3,00	5,00	6,00	7,00	4,00	4,00	5,00
122	juge1	rang 2	Scoup	6,00	1,00	7,00	3,00	3,00	6,00	5,00	3,00	2,00	1,00	0,00	2,00	4,00	3,00	6,00	8,00	7,00	3,00	6,00	4,00	5,00	7,00	6,00	4,00	8,00
136	juge1	rang 3	St Mamet	1,00	1,00	4,00	8,00	0,00	6,00	6,00	8,00	0,00	0,00	0,00	1,00	7,00	7,00	6,00	6,00	6,00	1,00	7,00	6,00	5,00	7,00	3,00	1,00	0,00
145	juge1	rang 4	Délisse	6,00	2,00	8,00	5,00	1,00	7,00	6,00	6,00	2,00	3,00	2,00	1,00	7,00	8,00	8,00	6,00	7,00	2,00	5,00	4,00	6,00	3,00	8,00	5,00	6,00
151	juge1	rang 5	Poti	5,00	5,00	8,00	2,00	1,00	3,00	3,00	1,00	5,00	4,00	0,00	0,00	4,00	2,00	9,00	7,00	9,00	1,00	1,00	6,00	1,00	2,00	0,00	2,00	1,00
164	juge1	rang 6	Carrefour	4,00	4,00	7,00	2,00	1,00	5,00	5,00	1,00	5,00	5,00	2,00	1,00	4,00	6,00	6,00	8,00	8,00	1,00	2,00	4,00	4,00	6,00	7,00	7,00	7,00
212	juge2	rang 1	Scoup	8,00	5,00	5,00	1,00	1,00	7,00	5,00	5,00	4,00	5,00	6,00	2,00	5,00	3,00	7,00	4,00	5,00	8,00	2,00	4,00	1,00	6,00	2,00	6,00	3,00
225	juge2	rang 2	Délisse	3,00	2,00	4,00	6,00	4,00	6,00	8,00	1,00	3,00	5,00	5,00	4,00	8,00	7,00	5,00	5,00	6,00	8,00	1,00	5,00	1,00	3,00	6,00	3,00	7,00
233	juge2	rang 3	Andros	8,00	4,00	3,00	5,00	6,00	3,00	6,00	3,00	3,00	2,00	3,00	4,00	3,00	7,00	3,00	6,00	7,00	8,00	2,00	5,00	1,00	5,00	2,00	5,00	5,00
244	juge2	rang 4	Carrefour	6,00	3,00	8,00	2,00	2,00	7,00	6,00	7,00	3,00	2,00	7,00	6,00	7,00	7,00	3,00	4,00	8,00	4,00	4,00	3,00	2,00	6,00	1,00	3,00	1,00
