Date;maxO3;heure;T6;T9;T12;T15;T18;Ne6;Ne9;Ne12;Ne15;Ne18;Vdir6;Vvit6;Vdir9;Vvit9;Vdir12;Vvit12;Vdir15;Vvit15;Vdir18;Vvit18;Vx6;Vx9;Vx12;Vx15;maxO3v;;;;;;;;;;;;;;
19950401;47.6;20;10.1;11.6;13.3;13.6;12.2;8;8;8;8;8;270;2;290;4;300;4;340;4;20;4;-2;-3.7588;-3.4641;-1.3681;62.2;;;;;;;;;;;;;;
19950402;56.2;5;9.5;9.4;13.8;17.4;16.3;8;8;7;0;0;100;2;160;2;180;3;110;1;350;2;1.9696;0.684;0;0.9397;47.6;;;;;;;;;;;;;;
19950403;61.8;16;3.6;8;16.8;21.5;20.2;4;5;2;2;3;310;2;20;2;340;1;170;2;170;3;-1.5321;0.684;-0.342;0.3473;56.2;;;;;;;;;;;;;;
19950404;50.8;4;9.5;10.5;11.4;12.2;11.4;8;7;7;7;8;20;3;10;4;350;3;350;3;350;4;1.0261;0.6946;-0.5209;-0.5209;61.8;;;;;;;;;;;;;;
19950405;59.8;20;9.8;10.8;13.8;14.3;13.3;8;7;8;8;7;330;2;340;2;280;1;320;3;350;4;-1;-0.684;-0.9848;-1.9284;50.8;;;;;;;;;;;;;;
19950406;53.4;2;8.9;10.2;12.6;13.2;12.9;8;8;8;8;7;240;1;230;3;290;2;300;1;350;3;-0.866;-2.2981;-1.8794;-0.866;59.8;;;;;;;;;;;;;;
19950407;49.4;20;11.2;11;13.3;14.9;12.5;8;8;8;7;7;320;1;350;2;350;1;330;5;360;5;-0.6428;-0.3473;-0.1736;-2.5;53.4;;;;;;;;;;;;;;
19950408;82.8;15;10;13.4;15.6;15.4;13.9;8;7;1;3;7;20;4;80;6;90;6;30;6;80;5;1.3681;5.9088;6;3;49.4;;;;;;;;;;;;;;
19950409;76.8;13;3.7;8.3;12.3;13.9;13.2;2;4;3;5;5;70;3;90;6;90;4;80;5;80;4;2.8191;6;4;4.924;82.8;;;;;;;;;;;;;;
19950410;92.6;14;3.1;9.3;14.1;16.5;14.6;6;6;4;4;7;350;2;50;1;60;2;80;4;70;4;-0.3473;0.766;1.7321;3.9392;76.8;;;;;;;;;;;;;;
19950411;90.6;14;4.3;13.7;17;18.5;17.1;3;2;4;3;0;330;1;90;4;100;5;90;4;60;3;-0.5;4;4.924;4;92.6;;;;;;;;;;;;;;
19950412;104.6;15;4.8;12.9;18;18.9;16.3;1;1;1;0;0;340;1;30;2;60;5;20;6;40;7;-0.342;1;4.3301;2.0521;90.6;;;;;;;;;;;;;;
19950413;71;15;5.9;10.9;13.3;15;13.6;1;1;1;1;1;30;5;70;9;60;7;30;8;60;6;2.5;8.4572;6.0622;4;104.6;;;;;;;;;;;;;;
19950414;66.6;16;6.5;10.5;14.1;15.6;13.1;0;1;1;2;4;20;4;30;6;20;6;20;6;350;5;1.3681;3;2.0521;2.0521;71;;;;;;;;;;;;;;
19950415;93.8;15;7;8;13.6;14.1;10.9;8;7;7;7;8;330;3;310;3;330;5;350;6;10;7;-1.5;-2.2981;-2.5;-1.0419;66.6;;;;;;;;;;;;;;
19950416;87.2;15;7.1;9.1;11.3;12;10.5;7;7;6;5;5;350;2;10;3;350;5;340;7;330;5;-0.3473;0.5209;-0.8682;-2.3941;93.8;;;;;;;;;;;;;;
19950417;71.6;19;9.2;11.2;12;12.1;11.6;8;8;8;8;8;260;2;250;4;280;4;290;6;290;6;-1.9696;-3.7588;-3.9392;-5.6382;87.2;;;;;;;;;;;;;;
19950418;72.4;2;10.7;12;12.3;10.4;9.8;8;8;8;8;7;250;7;240;8;250;7;320;3;320;6;-6.5778;-6.9282;-6.5778;-1.9284;71.6;;;;;;;;;;;;;;
19950419;63.4;13;2.6;8.1;7.8;7;6.4;6;3;7;7;5;310;3;300;4;310;7;360;1;230;3;-2.2981;-3.4641;-5.3623;0;72.4;;;;;;;;;;;;;;
19950420;62.2;15;-0.3;7.3;10.2;10.5;10.1;1;3;6;8;8;0;0;80;1;270;2;170;2;180;2;0;0.9848;-2;0.3473;63.4;;;;;;;;;;;;;;
19950421;76.8;17;5.4;11.4;13;12.8;9.1;6;5;7;6;8;60;4;90;7;80;7;60;8;40;9;3.4641;7;6.8937;6.9282;62.2;;;;;;;;;;;;;;
19950422;69.4;18;6.1;7.3;7.7;8.2;7.3;8;8;8;8;4;160;5;170;6;170;6;200;9;200;7;1.7101;1.0419;1.0419;-3.0782;76.8;;;;;;;;;;;;;;
19950423;79.4;13;2.4;8.9;11.7;12.9;10.3;3;7;7;8;7;0;0;90;2;80;1;50;1;10;3;0;2;0.9848;0.766;69.4;;;;;;;;;;;;;;
19950424;71.6;23;6.9;10.4;10.8;9.5;9.1;7;8;8;8;8;10;3;10;7;350;8;340;7;330;6;0.5209;1.2155;-1.3892;-2.3941;79.4;;;;;;;;;;;;;;
19950425;77;1;8.3;9.2;10;10.2;9.7;8;8;8;8;8;300;6;310;6;310;6;300;7;290;4;-5.1962;-4.5963;-4.5963;-6.0622;71.6;;;;;;;;;;;;;;
19950426;57.8;14;10.1;11.5;11.5;13.2;11.8;9;8;8;8;8;280;2;20;3;10;2;350;4;350;3;-1.9696;1.0261;0.3473;-0.6946;77;;;;;;;;;;;;;;
19950427;60.8;22;9.2;9.8;10.7;11.2;11.2;8;8;8;8;8;20;3;70;3;80;3;90;3;90;2;1.0261;2.8191;2.9544;3;57.8;;;;;;;;;;;;;;
19950428;56.2;13;9.6;10.7;12.3;13.2;13.4;8;8;8;8;8;80;4;70;4;90;3;120;3;130;1;3.9392;3.7588;3;2.5981;60.8;;;;;;;;;;;;;;
19950429;75.6;16;10.2;11.8;13;14.4;15;8;8;8;7;7;200;1;260;1;300;3;290;2;20;3;-0.342;-0.9848;-2.5981;-1.8794;56.2;;;;;;;;;;;;;;
19950430;80.2;17;10.6;11.6;13.9;16.7;16.7;8;8;7;6;3;0;0;310;2;220;2;100;1;90;2;0;-1.5321;-1.2856;0.9848;75.6;;;;;;;;;;;;;;
19950501;101.4;15;9.3;15.2;18.5;20.2;18.6;6;6;6;5;6;100;3;140;4;100;5;110;4;100;2;2.9544;2.5712;4.924;3.7588;80.2;;;;;;;;;;;;;;
19950502;113;17;8.1;17.1;22.6;23.9;22.5;2;3;5;6;6;300;1;50;2;90;4;80;4;90;4;-0.866;1.5321;4;3.9392;101.4;;;;;;;;;;;;;;
19950503;115.6;14;9.4;19.5;24.6;25.4;24.1;1;1;1;0;0;330;1;80;3;120;4;130;4;110;3;-0.5;2.9544;3.4641;3.0642;113;;;;;;;;;;;;;;
19950504;117.8;14;10.2;20.6;26.6;27.7;26.1;0;0;1;1;2;0;0;90;2;160;3;200;3;170;2;0;2;1.0261;-1.0261;115.6;;;;;;;;;;;;;;
19950505;127.8;17;12.6;22.3;28.1;28.9;27.2;0;0;1;1;1;0;0;160;2;130;4;140;2;80;3;0;0.684;3.0642;1.2856;117.8;;;;;;;;;;;;;;
19950506;144.6;12;14.5;23.2;27.9;28.6;25.4;3;1;3;1;4;0;0;140;2;120;4;140;2;20;3;0;1.2856;3.4641;1.2856;127.8;;;;;;;;;;;;;;
19950507;157;11;13.3;22;26.7;27.8;24.7;4;1;1;1;4;10;1;140;3;150;3;260;2;230;3;0.1736;1.9284;1.5;-1.9696;144.6;;;;;;;;;;;;;;
19950508;90.8;1;12.1;15.8;18.3;18;15.5;8;6;3;1;4;350;4;10;4;350;6;360;5;350;6;-0.6946;0.6946;-1.0419;0;157;;;;;;;;;;;;;;
19950509;74.4;13;9.5;13.3;15.8;16.8;13.4;1;4;2;4;7;10;3;350;4;340;4;330;5;10;5;0.5209;-0.6946;-1.3681;-2.5;90.8;;;;;;;;;;;;;;
19950510;85.8;14;10;14;17.2;18.1;15.5;5;4;6;2;7;30;3;30;2;40;2;360;4;30;5;1.5;1;1.2856;0;74.4;;;;;;;;;;;;;;
19950511;58.2;0;10.4;11.2;13.1;13.5;11.2;8;8;8;8;8;80;4;90;4;90;5;70;5;30;4;3.9392;4;5;4.6985;85.8;;;;;;;;;;;;;;
