"abies";"acer";"alnusfru";"alnusund";"apiaceae";"artemisia";"asterund";"betunana";"betula";"brassicaceae";"carpinus";"chenopodiaceae";"corylus";"cyperaceae";"ephedra";"ericaceae";"fagus";"fraxinus";"juniperus";"larix";"olea";"picea";"pinushap";"pinus";"plantago";"poaceae";"quercusever";"quercusdec";"salix";"tilia";"ulmus";"gdd5";"mtco";"pann";"e_pe";"tann";"mtwa";"long";"lati";"alti";"biome"
"e001";0;0;0;0.91;0;0;0.23;0;6.83;0;0;0;1.37;19.13;0;36.67;0;0;0;0;0;0;0;15.72;1.37;17.31;0;0;0.23;0;0.23;1022.477;-4.549;859.789;98.891;4.627;15.278;-3.26;57;0;"COMX"
"e008";0;0;0;0;0;0;0;0;0;1.39;0;1.39;0;0;0;84.72;0;0;0;0;0;0;0;0;12.5;0;0;0;0;0;0;1148.201;-4.084;1231.601;99.306;5.115;15.692;-6.53;58.08;27;"TUND"
"e017";0.08;0;0;2.27;0.17;0;0;0;45.32;0;0;0;0;2.02;0;4.21;0;0;0.93;0;0;4.89;0;31.59;0;8.42;0;0.08;0;0;0;754.188;-12.267;754.358;101.591;0.256;13.793;12.1;62.33;780;"COMX"
"e032";0;0;0;2.34;0.2;0;0.2;0;2.73;0;0;0;10.16;0.78;0;71.29;0;0.78;0;0;0;0;0;0;1.37;7.62;0;2.34;0;0;0.2;1379.665;-2.544;871.395;99.867;6.518;16.753;-6.18;54.56;52;"COMX"
"e035";0;0;0;0.2;0;0;0.2;0;0.2;0;0;0.2;0.81;2.02;0;49.6;0;0;0;0;0;0;0;1.21;5.67;37.65;0;0.4;1.42;0;0.4;1516.177;-1.989;748.389;97.493;7.148;17.272;-1.18;54.43;100;"TUND"
"e042";0.67;0;0;1.33;0.33;1.33;4;0;0.67;0;0;0;0.67;46;0;0;0;0;0;0;0;0;0;31.33;0.67;9.33;0;3.33;0.33;0;0;2511.517;0.127;863.895;81.2;10.806;20.889;6.11;44.312;975;"WAST"
"e060";0;0;0;21.4;0;0;0.33;0;6.69;0;0;0;16.05;1.34;0;15.38;0;0;0;0;0;0;0;7.02;0;28.43;0;3.01;0.33;0;0;1271.064;-3.058;1077.3;99.679;5.967;16.288;-4.35;56.0511;8;"COMX"
"e061";1.91;0;0;10.64;1.49;0.43;1.91;0;3.62;0;1.06;0.64;4.04;12.55;0;0;5.96;1.49;0.64;0;0;11.06;0;17.66;9.79;0;0;12.98;1.06;0.43;0.64;2185.672;-0.058;1073.087;97.698;9.936;19.954;7.1757;47.0155;514;"COMX"
"e062";10.81;0;0;1.16;0;2.32;0.39;0;0;0;0;0.77;0.77;2.7;0;0.39;0.77;0;0;3.47;2.32;3.47;0;38.61;5.79;16.22;0;8.49;0.39;0;0.77;1213.931;-12.525;1304.842;96.751;2.466;16.314;7.27;44.0328;2093;"COMX"
"e063";0.27;0;0;1.6;0;0;1.07;0;0;0.27;0;0;0;40.11;0;0;0.8;0;0.8;0;1.07;0.53;0;40.11;2.41;4.28;0.27;6.42;0;0;0;1722.794;-5.301;959.905;93.327;7.07;18.816;6.2011;44.2512;1308;"TEDE"
"e066";0;0;0;4.9;0;0.19;0.38;0;1.83;0;0;0.19;25.38;0.1;0;1.15;0.87;0.87;0;0.1;0;0.38;0;8.65;0.77;48.08;0;3.65;0.96;0.1;1.44;1455.201;-2.027;971.443;98.9;6.915;16.999;-5.54;54.26;25;"COMX"
"e069";0;0.02;0;13.42;0.14;0.85;0.07;0;19.39;0.05;0.05;0.31;4.9;0.8;0;1.04;1.23;0.02;7.69;0;0;5.63;0;24.53;0.17;14.25;0;3.67;0.97;0.38;0.4;1256.417;-4.195;700.192;96.685;5.434;16.279;12.25;57.08;35;"COMX"
"e070";0;0;0;1.55;0;0.17;0;0;39.52;0;0;0;0.52;2.23;0;1.2;0;0;0.17;0;0;8.42;0;45.19;0;0.86;0;0;0.17;0;0;608.606;-12.86;523.067;100.379;-0.711;12.958;29;66.07;288;"COMX"
"e071";0;0;0;4.76;0.22;0.11;3.35;0;5.3;0.22;0;0.54;4;1.84;0;15.46;0.32;0.32;0;0;0;0.97;0;2.7;1.08;56;0;1.95;0.32;0.22;0.32;1363.06;-3.2;731.71;95.893;6.172;16.69;8.38;56.08;41;"COMX"
"e077";3.03;0;0;3.03;0.43;0;1.3;0;0.43;0.43;1.73;1.3;6.49;14.72;0;1.3;19.91;0;0.87;0;0;0;0;2.16;3.03;26.41;0;12.99;0;0;0.43;1988.275;-2.854;987.885;99.397;8.575;19.582;2.56;48.1;1015;"TEDE"
"e080";0.26;0.26;0;0;0.26;2.81;1.28;0;0;1.02;0;3.57;0.77;32.91;0;0;1.02;0.77;3.57;0;0.51;0;0;13.78;1.28;19.39;1.28;14.03;1.28;0;0;3448.372;5.146;756.557;65.11;14.257;22.978;21.5709;40.4905;350;"WAST"
"e088";0;0;0;0;1.33;0.44;46.9;0;0;0.44;0;29.2;0;9.73;1.77;0;0;0;0;0;0;0;0;3.98;0;2.65;0.44;3.1;0;0;0;4677.504;10.34;655.856;49.877;17.769;24.928;22.5;39.1;0;"WAST"
"e106";0.69;0;0;0;1.21;0.52;17.65;0;0;0.69;0;0.87;0;11.07;0;0;0;0;0.52;0;0.17;0;0;55.71;4.84;5.02;0;0.69;0.35;0;0;2981.479;1.168;477.819;39.322;12.521;22.533;31.3;37.323;1120;"WAST"
"e109";0;0;0;0.57;0.11;0.8;1.72;0;0;0.69;0;2.29;0;14.66;0;0.34;0;0;0.11;0;0.11;0;0;61.4;0.11;8.48;0;7.45;0.11;0;0.34;4971.775;10.984;694.818;42.437;18.573;25.619;28.383;36.523;20;"TEDE"
"e111";0;0;0;0;0;0.6;3.41;0;0;0.2;0;2.61;0;2.61;0;0;0;0;0.8;0;0;0;0;88.38;0.2;0.6;0;0.6;0;0;0;3016.969;0.871;434.922;34.114;12.387;22.277;29.53;37.03;1400;"TEDE"
"e126";0;0;0;7.92;0;0.38;0.19;0;12.52;0.06;0.64;0.32;3.32;0.7;0;17.19;6.07;0.19;0;0;0;0.96;0;7.86;0.51;38.27;0;1.92;0.13;0.64;0.19;1387.539;-3.513;634.237;92.136;6.185;16.931;13.25;55.5;58;"COMX"
"e140";0;0;0;2.03;0.14;0.41;0;13.8;20.84;0;0;0;0;15.43;0;0.41;0;0;0.41;0;0;10.55;0;30.31;0;5.41;0;0;0.27;0;0;676.928;-12.008;526.003;100.49;-0.062;13.367;29.12;65.55;265;"COMX"
