Fille;Père;Mère
1.62;1.82;1.57
1.73;1.87;1.61
1.7;1.87;1.61
1.66;1.86;1.55
1.66;1.86;1.55
1.68;1.72;1.6
1.67;1.72;1.6
1.68;1.72;1.6
1.7;1.88;1.69
1.55;1.8;1.65
1.57;1.78;1.57
1.58;1.78;1.57
1.7;1.78;1.57
1.48;1.71;1.52
1.6;1.72;1.64
1.65;1.7;1.57
1.62;1.7;1.57
1.65;1.75;1.55
1.65;1.81;1.7
1.63;1.81;1.7
1.69;1.69;1.62
1.71;1.73;1.71
1.73;1.73;1.71
1.65;1.72;1.63
1.56;1.73;1.65
1.68;1.73;1.65
1.75;1.93;1.72
1.78;1.93;1.72
1.73;1.93;1.72
1.65;1.8;1.66
1.7;1.8;1.66
1.62;1.58;1.55
1.58;1.75;1.63
1.72;1.72;1.6
1.68;1.72;1.6
1.6;1.72;1.55
1.57;1.72;1.55
1.73;1.83;1.65
1.7;1.75;1.55
1.65;1.78;1.65
1.65;1.74;1.62
1.69;1.75;1.68
1.63;1.72;1.53
1.6;1.72;1.59
1.7;1.72;1.59
1.67;1.8;1.68
1.68;1.87;1.58
1.54;1.87;1.58
1.52;1.87;1.58
1.75;1.93;1.66
1.72;1.88;1.61
1.7;1.88;1.61
1.69;1.83;1.73
1.67;1.82;1.58
1.57;1.78;1.55
1.69;1.91;1.61
1.79;1.91;1.61
1.72;1.8;1.63
1.68;1.8;1.63
1.6;1.71;1.63
1.74;1.84;1.68
1.65;1.8;1.62
1.55;1.73;1.68
1.7;1.74;1.68
1.68;1.85;1.65
1.63;1.76;1.6
1.63;1.8;1.51
1.7;1.8;1.51
1.68;1.8;1.51
1.62;1.68;1.57
1.65;1.78;1.64
1.59;1.78;1.64
1.62;1.8;1.6
1.6;1.8;1.6
1.62;1.72;1.7
1.55;1.72;1.7
1.68;1.75;1.67
1.7;1.75;1.67
1.55;1.79;1.49
1.68;1.75;1.6
1.6;1.75;1.6
1.65;1.75;1.6
1.68;1.78;1.65
1.74;1.8;1.6
1.68;1.8;1.6
1.71;1.8;1.6
1.71;1.87;1.75
1.75;1.87;1.75
1.81;1.87;1.75
1.76;1.82;1.63
1.59;1.76;1.53
1.72;1.76;1.7
1.66;1.75;1.75
1.68;1.77;1.65
1.72;1.75;1.65
1.75;1.68;1.68
1.69;1.68;1.68
1.74;1.87;1.7
1.6;1.75;1.6
1.7;1.75;1.6
1.79;1.86;1.6
1.71;1.7;1.6
1.7;1.7;1.6
1.6;1.7;1.6
1.58;1.7;1.6
1.65;1.73;1.64
1.7;1.73;1.64
1.68;1.73;1.64
1.55;1.65;1.52
1.63;1.72;1.59
1.73;1.72;1.59
1.69;1.8;1.68
1.67;1.73;1.65
1.78;1.78;1.68
1.57;1.63;1.53
1.78;1.87;1.68
1.67;1.87;1.68
1.68;1.78;1.72
1.74;1.78;1.72
1.72;1.84;1.71
1.63;1.8;1.66
1.68;1.8;1.69
1.68;1.8;1.69
1.7;1.8;1.69
1.74;1.8;1.69
1.71;1.8;1.69
1.75;2.06;1.88
1.73;1.75;1.65
1.67;1.73;1.56
1.6;1.73;1.56
1.67;1.72;1.55
1.69;1.76;1.63
1.6;1.76;1.63
1.72;1.78;1.57
1.72;1.82;1.68
1.7;1.82;1.68
1.58;1.7;1.57
1.63;1.7;1.57
1.61;1.65;1.62
1.67;1.77;1.63
