Cocktail;Acidité mesure 1;Acidité mesure 2;Orange;Banane;Mangue;Citron
1;0.13;0.14;0.20;0.20;0.50;0.10
2;0.05;0.05;0.20;0.30;0.50;0
3;0.13;0.13;0.20;0.50;0.20;0.10
4;0.1;0.1;0.20;0.50;0.25;0.05
5;0.17;0.16;0.40;0;0.50;0.10
6;0.14;0.14;0.40;0.50;0;0.10
7;0.13;0.12;0.45;0;0.50;0.05
8;0.12;0.12;0.45;0.25;0.25;0.05
9;0.12;0.12;0.45;0.25;0.25;0.05
10;0.14;0.08;0.467;0.267;0.267;0
11;0.07;0.07;0.50;0.50;0;0
12;0.17;0.17;0.70;0;0.20;0.10
13;0.1;0.1;0.70;0;0.30;0
14;0.07;0.16;0.70;0.20;0;0.10
15;0.13;0.13;0.70;0.25;0;0.05
Orange;0.1;0.11;1;0;0;0
Banane;0.04;0.04;0;1;0;0
Mangue;0.07;0.07;0;0;1;0
Citron;0.83;0.74;0;0;0;1
