Essai ; Text1 ; Text2 ; Visc t0; Visc t15; Visc t30; Visc t60; Tenue au four ; Tau Max   
1_1_-1 ;1;-1; 4.21 ; 39.98 ; 85.83 ;100; 91.25 ;1854
2_-1_-1 ;-1;-1; 1.6 ; 2.5 ; 2.77 ; 3.19 ;0; 6.768   
3_0_-1 ;0;-1;9; 43.43 ;56; 66.62 ;90; 874.8   
4_0_0 ;0;0; 21.91 ; 65.26 ; 88.45 ;100; 96.25 ;1178
5_-1_0 ;-1;0; 8.71 ; 12.89 ;15; 16.2 ; 49.4 ; 63.73   
6_1_0 ;1;0; 10.23 ; 65.88 ;100;100;100;1887
7_0_0 ;0;0; 22.79 ; 58.34 ; 78.32 ; 94.5 ; 95.63 ;1000
8_0_0 ;0;0; 19.39 ; 61.94 ; 84.46 ;100; 96.25 ;1068
9_0_0 ;0;0; 20.34 ; 64.06 ; 89.84 ;100; 96.25 ;1086
10_0_1 ;0;1; 41.62 ; 97.19 ;100;100;100;1298
11_-1_1 ;-1;1; 25.72 ; 32.37 ; 35.59 ; 38.24 ;65; 120.5   
12_1_1 ;1;1; 24.94 ; 97.36 ;100;100;100;1958
