;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;Précipitations annuelles;Nb de jours de pluie;Température moyenne;Insolation annuelle;Latitude;Longitude;% de hauteur eau mai à août
Ajaccio;78;69;51;39;43;23;10;15;43;81;105;96;653;95;14.71;2811;41.55;8.44;13.9
Angers;65;50;60;45;50;55;35;60;55;65;80;70;690;154;11.28;1899;47.28;-0.33;29
Angoulème;79;68;64;62;70;58;53;66;69;70;79;88;826;160;12.02;1989;45.39;0.09;29.9
Besançon;94;87;75;74;86;107;80;116;106;78;92;93;1088;169;10.04;1897;47.15;6.02;35.8
Biarritz;128;105;98;102;100;91;69;123;155;152;175;176;1474;177;13.58;1921;43.29;-1.34;26
Bordeaux;100;84;66;57;64;71;52;65;88;84;99;117;947;162;13.33;2076;44.5;-0.34;26.6
Brest;130;98;89;77;74;60;51;80;95;108;136;159;1157;201;10.77;1757;48.24;-4.29;22.9
Caen;65;61;45;44;53;52;45;57;66;75;79;71;713;169;10.45;1777;49.11;-0.21;29
Clermont-Fd;28;27;30;41;78;79;48;70;58;43;39;30;571;132;10.94;1899;45.47;3.05;48.2
Dijon;62;48;51;48;68;79;44;79;74;53;67;61;734;147;10.5;1934;47.19;5.01;36.8
Embrun;61;55;55;48;47;63;41;65;60;60;81;62;698;108;9.49;2604;44.34;6.3;30.9
Grenoble;80;79;69;69;83;94;74;96;88;85;90;98;1005;144;10.98;2100;45.1;5.43;34.5
Lille;45;43;38;37;45;57;62;64;53;56;56;56;612;171;9.73;1641;50.38;3.04;37.3
Limoges;87;75;68;69;72;71;56;73;87;72;82;98;910;165;10.59;1853;45.5;1.16;29.9
Lyon;53;50;60;54;67;84;55;104;86;73;80;62;828;145;11.36;2036;45.45;4.51;37.4
Marseille;36;49;40;35;38;33;13;27;65;67;69;61;533;76;14.23;2866;43.18;5.24;20.8
Montpellier;56;59;69;46;47;41;20;52;78;125;70;73;736;88;13.89;2709;43.36;3.53;21.7
Nancy;66;58;43;45;62;70;58;76;65;52;59;67;721;161;9.5;1633;48.41;6.12;36.9
Nantes;83;65;53;48;54;52;42;66;80;77;95;94;809;168;11.69;1901;47.13;-1.33;26.5
Nice;67;83;71;70;39;37;21;38;83;109;158;92;868;86;14.84;2779;43.42;7.15;15.6
Nîmes;52;53;57;45;50;40;25;40;75;100;83;60;680;92;14.18;2628;43.5;4.21;22.8
Orléans;57;48;43;46;52;54;47;54;51;54;61;54;621;156;10.53;1799;47.55;1.54;33.3
Paris;53;48;40;45;53;57;54;61;54;50;58;51;624;162;11.18;1814;48.52;2.2;36.1
Perpignan;27;52;59;47;49;33;27;28;69;97;70;71;629;85;15.24;2603;42.41;2.53;21.8
Poitiers;65;58;56;49;55;55;46;59;52;61;78;68;702;155;11.28;2024;46.35;0.2;30.6
Reims;43;44;42;37;52;53;47;58;54;43;52;50;575;165;10.06;1702;49.15;4.02;36.5
Rennes;57;50;45;43;46;48;36;57;53;60;73;66;634;168;11.13;1835;48.05;-1.41;29.5
Rouen;65;58;50;44;50;57;49;67;70;72;68;66;716;168;10.34;1694;49.26;1.05;31.1
St-Quentin;52;50;46;44;52;63;61;69;67;52;63;65;684;164;9.85;1661;49.51;3.17;35.8
Strasbourg;51;44;42;58;71;88;73;90;61;43;51;47;719;158;9.72;1696;48.35;7.45;44.8
Toulon;76;86;82;60;49;35;12;31;77;105;117;107;837;81;15.28;2917;43.07;5.56;15.2
Toulouse;53;50;52;55;65;65;44;43;57;49;58;65;656;137;12.68;2081;43.36;1.26;33.1
Tours;63;55;52;51;53;58;47;60;60;55;68;65;687;157;11.22;1859;47.23;0.41;31.7
Vichy;50;45;51;52;84;84;63;86;75;58;58;55;761;161;10.72;1873;46.08;3.26;41.7
