;i1998;i1999;i2000;i2001;i2002;i2003;i2004;c1998;c1999;c2000;c2001;c2002;c2003;c2004
Allemagne;0.6;0.6;1.4;1.9;1.3;1;1.8;8.8;7.9;7.2;7.4;8.2;9;9.5
Autriche;0.8;0.5;2;2.3;1.7;1.3;2;4.5;3.9;3.7;3.6;4.2;4.3;4.5
Belgique;0.9;1.1;2.7;2.4;1.6;1.5;1.9;9.3;8.6;6.9;6.7;7.3;8;7.8
Danemark;1.3;2.1;2.7;2.3;2.4;2;0.9;4.9;4.8;4.4;4.3;4.6;5.6;5.4
Espagne;1.8;2.2;3.5;2.8;3.6;3.1;3.1;15.2;12.8;11.3;10.6;11.3;11.3;10.8
Etats-Unis;1.6;2.2;3.4;2.8;1.6;2.3;3.3;4.5;4.2;4;4.8;5.8;6;5.5
Finlande;1.4;1.3;3;2.7;2;1.3;0.1;11.4;10.2;9.8;9.1;9.1;9;8.8
France;0.7;0.6;1.8;1.8;1.9;2.2;2.3;11.1;10.5;9.1;8.4;8.9;9.5;9.7
Grèce;4.5;2.1;2.9;3.7;3.9;3.4;3;10.9;12;11.3;10.8;10.3;9.7;10.5
Irlande;2.1;2.5;5.3;4;4.7;4;2.3;7.5;5.6;4.3;3.9;4.3;4.6;4.5
Italie;2;1.7;2.6;2.3;2.6;2.8;2.3;11.3;10.9;10.1;9.1;8.6;8.4;8
Japon;0.6;-0.3;-0.7;-0.7;-0.9;-0.3;-0.1;4.1;4.7;4.7;5;5.4;5.3;4.7
Luxembourg;1;1;3.8;2.4;2.1;2.5;3.2;2.7;2.4;2.3;2.1;2.8;3.7;4.2
Norvège;2;2.1;3;2.7;0.8;2;0.6;3.2;3.2;3.4;3.6;3.9;4.5;4.4
Pays-Bas;1.8;2;2.3;5.1;3.9;2.2;1.4;3.8;3.2;2.8;2.2;2.8;3.7;4.6
Portugal;2.2;2.2;2.8;4.4;3.7;3.3;2.5;5.1;4.5;4.1;4;5;6.3;6.7
Royaume-Unis;1.6;1.3;0.8;1.2;1.3;1.4;1.3;6.2;5.9;5.4;5;5.1;4.9;4.7
Suède;1;0.6;1.3;2.7;2;2.3;1;8.2;6.7;5.6;4.9;4.9;5.6;6.3
UE(15pays);1.3;1.2;1.9;2.2;2.1;2;2;9.3;8.5;7.6;7.2;7.6;7.9;8
UE(25pays);2.1;1.6;2.4;2.5;2.1;1.9;2.1;9.5;9.1;8.6;8.4;8.7;8.9;9
