Département;Superficie
1;5762
2;7369
3;7340
4;6925
5;5549
6;4299
7;5529
8;5229
9;4890
10;6004
11;6139
12;8735
13;5087
14;5548
15;5726
16;5956
17;6864
18;7235
19;5857
20;4014
21;8763
22;6878
23;5565
24;9060
25;5234
26;6530
27;6040
28;5880
29;6733
30;5853
31;6309
32;6257
33;10000
34;6101
35;6775
36;6791
37;6127
38;7431
39;4999
40;9243
41;6343
42;4781
43;4977
44;6815
45;6775
46;5217
47;5361
48;5167
49;7166
50;5938
51;8162
52;6211
53;5175
54;5241
55;6216
56;6823
57;6216
58;6817
59;5743
60;5860
61;6103
62;6671
63;7970
64;7645
65;4464
66;4116
67;4755
68;3525
69;3249
70;5360
71;8575
72;6206
73;6028
74;4388
75;105
76;6278
77;5915
78;2284
79;5999
80;6170
81;5758
82;3718
83;5973
84;3567
85;6720
86;6990
87;5520
88;5874
89;7427
90;609
91;1804
92;176
93;236
94;245
95;1246
96;4666
