Echantillon;Type;S.Amère
BR_1;Brut;5.857142857
BR_2;Brut;4.857142857
BR_3;Brut;2.357142857
BR_4;Brut;4.642857143
BR_5;Brut;4.321428571
BR_6;Brut;3.428571429
BR_7;Brut;3.821428571
BR_8;Brut;5.214285714
BR_9;Brut;7.857142857
BR_10;Brut;6.214285714
BR_11;Brut;5.392857143
BR_12;Brut;7.535714286
BR_13;Brut;4.25
BR_14;Brut;4.571428571
BR_15;Brut;4.107142857
BR_16;Brut;5.5
BR_17;Brut;6.964285714
BR_18;Brut;5.071428571
BR_19;Brut;5.392857143
BR_20;Brut;4.714285714
BR_21;Brut;3.928571429
BR_22;Brut;5.75
BR_23;Brut;6.035714286
BR_24;Brut;3.285714286
BR_25;Brut;5.428571429
BR_26;Brut;5.285714286
BR_27;Brut;6.607142857
BR_28;Brut;2.285714286
BR_29;Brut;2.964285714
BR_30;Brut;3.285714286
DS_1;Demi-sec;4.428571429
DS_2;Demi-sec;3.857142857
DS_3;Demi-sec;3.607142857
DS_4;Demi-sec;3.678571429
DS_5;Demi-sec;6.107142857
DS_6;Demi-sec;4.357142857
DS_7;Demi-sec;4.892857143
DS_8;Demi-sec;3.642857143
DS_9;Demi-sec;3.642857143
DS_10;Demi-sec;3.535714286
DS_11;Demi-sec;3.178571429
DS_12;Demi-sec;2.857142857
DS_13;Demi-sec;6.071428571
DS_14;Demi-sec;5.821428571
DS_15;Demi-sec;6.285714286
DS_16;Demi-sec;6.428571429
DS_17;Demi-sec;4.928571429
DS_18;Demi-sec;4
DS_19;Demi-sec;4.785714286
DS_20;Demi-sec;4.071428571
DS_21;Demi-sec;3.357142857
DS_22;Demi-sec;3
DS_23;Demi-sec;4.035714286
DS_24;Demi-sec;2.928571429
DS_25;Demi-sec;2.321428571
DS_26;Demi-sec;3.142857143
DS_27;Demi-sec;6.464285714
DS_28;Demi-sec;2.5
DS_29;Demi-sec;3.642857143
DS_30;Demi-sec;3.214285714
