Juge;Rang;Produit;Note
1;1;andros;4
1;2;scoup;4
1;3;stmamet;1
1;4;delisse;5
1;5;poti;2
1;6;carrefour;7
2;1;scoup;6
2;2;delisse;3
2;3;andros;5
2;4;carrefour;3
2;5;stmamet;7
2;6;poti;0
3;1;stmamet;7
3;2;andros;9
3;3;poti;8
3;4;scoup;0
3;5;carrefour;0
3;6;delisse;0
4;1;poti;3
4;2;stmamet;7
4;3;carrefour;7
4;4;andros;2
4;5;delisse;2
4;6;scoup;0
5;1;delisse;9
5;2;carrefour;2
5;3;scoup;1
5;4;poti;1
5;5;andros;0
5;6;stmamet;3
6;1;carrefour;3
6;2;poti;6
6;3;delisse;4
6;4;stmamet;1
6;5;scoup;0
6;6;andros;1
8;1;poti;7
8;2;delisse;9
8;3;scoup;2
8;4;carrefour;9
8;5;stmamet;7
8;6;andros;8
10;1;delisse;6
10;2;carrefour;7
10;3;poti;2
10;4;andros;6
10;5;scoup;8
10;6;stmamet;3
11;1;andros;8
11;2;stmamet;0
11;3;carrefour;0
11;4;scoup;0
11;5;delisse;0
11;6;poti;3
13;1;andros;6
13;2;poti;0
13;3;stmamet;8
13;4;carrefour;2
13;5;scoup;0
13;6;delisse;6
15;1;stmamet;5
15;2;andros;3
15;3;scoup;1
15;4;poti;0
15;5;delisse;1
15;6;carrefour;6
16;1;carrefour;6
16;2;delisse;2
16;3;poti;1
16;4;scoup;3
16;5;andros;1
16;6;stmamet;0
17;1;scoup;5
17;2;stmamet;1
17;3;delisse;7
17;4;andros;8
17;5;carrefour;4
17;6;poti;0
18;1;delisse;5
18;2;scoup;0
18;3;carrefour;1
18;4;stmamet;5
18;5;poti;0
18;6;andros;3
20;1;carrefour;4
20;2;delisse;3
20;3;scoup;3
20;4;poti;2
20;5;stmamet;2
20;6;andros;4
22;1;scoup;4
22;2;carrefour;1
22;3;stmamet;3
22;4;delisse;1
22;5;andros;1
22;6;poti;0
23;1;poti;4
23;2;andros;7
23;3;delisse;7
23;4;stmamet;5
23;5;carrefour;3
23;6;scoup;4
24;1;stmamet;3
24;2;scoup;6
24;3;andros;0
24;4;carrefour;4
24;5;poti;0
24;6;delisse;5
26;1;delisse;5
26;2;andros;2
26;3;carrefour;7
26;4;poti;1
26;5;scoup;0
26;6;stmamet;4
27;1;poti;7
27;2;stmamet;5
27;3;andros;6
27;4;scoup;3
27;5;delisse;7
27;6;carrefour;7
28;1;scoup;3
28;2;carrefour;3
28;3;stmamet;2
28;4;delisse;3
28;5;poti;0
28;6;andros;3
29;1;stmamet;8
29;2;scoup;6
29;3;poti;2
29;4;carrefour;6
29;5;andros;4
29;6;delisse;7
30;1;carrefour;7
30;2;delisse;5
30;3;scoup;3
30;4;andros;5
30;5;stmamet;4
30;6;poti;2
31;1;andros;4
31;2;delisse;9
31;3;poti;1
31;4;carrefour;1
31;5;scoup;0
31;6;stmamet;8
36;1;stmamet;3
36;2;scoup;1
36;3;carrefour;2
36;4;poti;0
36;5;delisse;1
36;6;andros;1
39;1;scoup;7
39;2;poti;2
39;3;stmamet;3
39;4;carrefour;5
39;5;andros;3
39;6;delisse;6
41;1;delisse;8
41;2;andros;4
41;3;carrefour;5
41;4;stmamet;4
41;5;poti;10
41;6;scoup;2
42;1;carrefour;5
42;2;delisse;5
42;3;poti;7
42;4;andros;5
42;5;scoup;3
42;6;stmamet;3
44;1;andros;6
44;2;scoup;6
44;3;delisse;3
44;4;stmamet;7
44;5;poti;2
44;6;carrefour;2
46;1;carrefour;4
46;2;poti;6
46;3;stmamet;0
46;4;delisse;4
46;5;scoup;0
46;6;andros;4
47;1;poti;8
47;2;delisse;3
47;3;carrefour;1
47;4;andros;1
47;5;stmamet;4
47;6;scoup;0
