Crème;Date;Viscosité
1;J+5;355.22
2;J+5;435.33
3;J+5;286.43
4;J+5;298.48
5;J+5;399
6;J+5;383.38
7;J+5;427.32
8;J+5;352.6
9;J+5;388.2
10;J+5;459.82
11;J+5;435.31
12;J+5;467.31
13;J+5;212.23
14;J+5;382.12
15;J+5;433.78
16;J+5;522.65
17;J+5;518.65
18;J+5;438.4
19;J+5;381
20;J+5;435.17
21;J+5;236.83
22;J+5;442.08
1;J+30;432.49
2;J+30;408.45
3;J+30;302.57
4;J+30;321.48
5;J+30;405
6;J+30;433.38
7;J+30;452.5
8;J+30;372
9;J+30;401.8
10;J+30;469.23
11;J+30;427.73
12;J+30;479.13
13;J+30;216.07
14;J+30;421.8
15;J+30;468.81
16;J+30;531.43
17;J+30;525
18;J+30;443.4
19;J+30;396
20;J+30;447.28
21;J+30;271.42
22;J+30;513.67
