PdsNonEviscéré;PdsEviscéré;Sexe
1300;1050;F
300;260;F
900;850;F
120;100;F
180;150;F
80;70;F
1600;1450;F
300;260;F
250;220;F
2400;2200;F
130;120;F
160;150;F
490;420;F
290;160;F
1420;1250;F
280;260;F
1000;850;F
650;580;F
1750;1510;F
1100;850;F
850;700;F
350;300;F
350;300;F
500;400;F
850;700;F
150;100;F
400;300;F
300;250;F
1150;1000;F
600;500;F
250;200;F
450;350;F
250;100;F
100;50;F
1000;900;F
1500;1400;F
1100;1000;F
400;200;F
500;400;F
850;600;F
1600;1400;F
150;100;F
300;280;F
1800;1600;F
240;200;F
400;350;F
700;600;F
300;250;F
700;500;F
2200;1600;F
1500;1100;F
800;700;F
250;180;F
150;120;F
280;260;F
1300;1150;F
300;250;F
800;700;F
400;300;F
500;400;F
300;250;F
700;650;F
900;850;F
650;500;F
650;590;F
610;550;F
1300;1150;F
220;180;F
1500;1100;F
560;500;F
300;200;F
900;800;F
200;120;F
850;720;F
650;600;F
600;500;F
400;350;F
200;150;F
180;150;F
70;60;F
500;450;F
700;650;F
1000;800;F
500;400;F
500;400;F
700;600;F
1500;1300;F
500;400;F
650;500;F
600;550;F
1000;850;F
900;800;F
1600;1350;F
600;500;F
700;650;F
900;800;F
950;800;F
1100;950;F
500;450;F
800;700;F
800;700;F
750;650;F
300;270;F
600;500;F
580;520;F
500;490;F
480;400;F
600;500;F
300;270;F
500;400;F
120;110;F
190;130;F
140;130;F
130;120;F
130;120;F
40;30;F
400;300;F
800;700;F
1200;1100;F
2400;2150;F
750;550;F
1400;1200;F
750;650;F
1000;900;F
1000;900;F
100;80;F
1000;900;F
1800;1500;F
600;500;F
500;450;F
700;600;F
600;500;F
600;450;F
600;550;F
1050;900;F
600;550;F
200;110;F
600;500;F
200;190;F
260;200;F
280;200;F
100;80;F
720;660;F
440;400;F
340;300;F
200;180;F
180;140;F
500;460;F
180;160;F
40;20;F
80;60;F
1600;1400;F
600;500;F
600;500;F
600;500;F
450;400;F
400;350;F
400;350;F
350;300;F
600;550;F
100;75;F
400;350;F
200;150;F
1800;1200;F
420;330;F
700;600;F
950;900;F
1100;1000;F
1250;1000;F
1000;950;F
1900;1600;F
800;700;F
350;300;F
550;450;F
350;300;F
1100;950;F
700;550;F
1800;1300;F
600;450;F
400;350;F
1000;850;F
800;700;F
1500;1350;F
950;800;F
500;400;F
400;300;F
400;300;F
450;350;F
400;380;F
670;550;F
320;280;F
620;550;F
780;700;F
350;300;F
480;420;F
220;180;F
520;460;F
280;250;F
360;320;F
500;420;F
520;460;F
340;300;F
350;320;F
750;700;F
800;680;F
460;420;F
280;240;F
720;640;F
560;500;F
620;560;F
450;400;F
600;440;F
1150;950;F
280;240;F
520;460;F
300;220;F
600;480;F
840;700;F
700;600;F
350;300;F
550;500;F
480;440;F
680;540;F
640;580;F
1100;1000;F
500;400;F
1100;1000;F
900;800;F
300;250;F
250;220;F
200;180;F
220;200;F
400;300;F
200;150;F
150;100;F
400;350;F
1500;1300;F
540;480;F
400;350;F
700;600;F
2700;2400;M
650;550;M
900;850;M
1100;950;M
1150;1000;M
650;600;M
800;700;M
1000;900;M
220;200;M
90;70;M
1850;1650;M
2200;2000;M
260;220;M
3500;2800;M
850;800;M
1000;850;M
750;700;M
950;850;M
250;200;M
550;500;M
3400;3000;M
800;700;M
250;200;M
900;750;M
500;350;M
2200;2000;M
600;500;M
800;700;M
700;650;M
700;650;M
400;300;M
650;600;M
100;80;M
2600;2250;M
500;400;M
2700;2300;M
500;430;M
300;250;M
4000;3600;M
5400;5100;M
1700;1500;M
550;470;M
80;50;M
200;190;M
1200;1000;M
1000;900;M
700;600;M
1900;1700;M
350;300;M
600;500;M
550;450;M
500;450;M
300;250;M
400;350;M
350;300;M
300;250;M
400;320;M
1000;900;M
1000;820;M
450;400;M
420;300;M
220;180;M
500;200;M
600;500;M
500;420;M
200;180;M
390;320;M
120;100;M
80;60;M
120;100;M
900;850;M
850;800;M
350;200;M
3100;2800;M
700;550;M
1300;1000;M
600;500;M
750;680;M
600;500;M
100;900;M
350;320;M
510;480;M
510;390;M
680;590;M
110;100;M
310;230;M
500;400;M
500;400;M
700;600;M
300;250;M
250;200;M
1000;900;M
1000;900;M
950;800;M
650;500;M
1250;1150;M
1850;1750;M
1600;1500;M
1800;850;M
1700;1600;M
1500;1200;M
1050;800;M
800;600;M
700;600;M
600;500;M
550;500;M
350;300;M
300;250;M
380;280;M
280;180;M
1100;1000;M
510;460;M
210;200;M
1850;1600;M
1200;960;M
300;280;M
140;120;M
160;140;M
240;200;M
200;180;M
560;480;M
140;120;M
200;180;M
200;180;M
80;60;M
680;600;M
1300;1200;M
1600;1500;M
650;550;M
650;550;M
400;350;M
350;300;M
550;500;M
250;200;M
250;200;M
2000;1700;M
550;520;M
620;580;M
510;480;M
660;590;M
400;380;M
340;300;M
660;590;M
400;340;M
300;240;M
320;300;M
400;360;M
3100;2800;M
950;850;M
1100;1000;M
600;500;M
700;600;M
1000;900;M
680;500;M
950;800;M
500;450;M
500;450;M
550;450;M
3500;3200;M
3900;3500;M
2900;2600;M
700;600;M
200;150;M
3750;3300;M
2500;2200;M
1700;1500;M
600;500;M
2000;1600;M
1300;1100;M
1700;1500;M
750;680;M
1500;1200;M
1300;1000;M
400;350;M
750;600;M
1800;1700;M
1800;1600;M
1100;1000;M
950;800;M
1100;950;M
400;350;M
450;400;M
600;500;M
500;400;M
500;350;M
320;250;M
550;480;M
500;450;M
400;350;M
620;560;M
450;400;M
400;350;M
520;480;M
380;350;M
280;240;M
750;700;M
760;650;M
480;420;M
240;200;M
370;300;M
350;280;M
500;450;M
540;500;M
580;540;M
700;600;M
380;320;M
220;180;M
450;400;M
600;500;M
550;450;M
520;480;M
600;540;M
700;660;M
650;580;M
570;520;M
260;220;M
500;450;M
350;320;M
280;240;M
220;180;M
340;300;M
500;400;M
540;450;M
680;640;M
520;450;M
650;550;M
420;320;M
480;380;M
200;180;M
1400;1150;M
2500;2300;M
2000;1700;M
800;700;M
950;750;M
1500;1300;M
1400;1300;M
500;450;M
950;800;M
3000;2500;M
2500;2100;M
220;190;M
200;180;M
700;600;M
400;300;M
200;150;M
200;150;M
150;100;M
400;350;M
300;250;M
500;400;M
