Superficie;Prix
58;410
56;420
58;450
66;460
57;460
66;465
65;470
57;485
58;492
63;493
60;496
58;500
60;500
66;500
65;505
58;520
75;530
64;530
54;540
70;540
70;540
70;550
70;555
63;607
60;580
80;640
80;650
80;667
87;685
87;700
84;720
81;735
100;765
93;820
120;830
108;950
93;1165
65;440
60;452
69;460
68;475
62;475
65;490
60;500
67;500
68;505
70;515
60;520
62;530
58;530
57;530
64;530
74;530
70;530
57;535
53;540
63;540
65;550
51;550
55;560
65;560
68;560
72;565
75;580
65;580
64;580
60;580
63;580
64;585
77;590
68;590
69;600
62;600
70;600
66;600
80;600
80;600
60;600
65;605
56;605
77;610
60;611
76;618
77;619
67;620
64;620
55;620
72;620
72;625
61;625
61;630
64;630
73;630
67;634
66;640
65;650
68;650
80;650
80;675
65;680
78;680
80;700
63;700
65;730
73;730
70;730
70;732
103;800
