Sucrée;Appréciation;Sexe
3;3;F
6;7;F
5;3;F
7;8;F
7;7;F
6;6;F
8;9;F
3;2;F
8;9;F
6;5;F
8;4;F
9;9;F
7;8;F
6;3;F
4;2;F
5;7;F
3;6;F
4;4;F
8;7;F
3;5;F
5;8;F
8;9;F
6;5;F
6;8;F
4;4;F
2;6;F
5;2;F
8;1;F
4;6;F
5;3;F
2;1;F
7;10;F
8;1;F
2;1;F
7;9;F
8;6;F
4;8;F
3;4;F
9;9;F
3;5;F
7;5;F
8;9;F
3;3;F
2;2;F
4;2;F
8;9;F
7;1;F
8;9;F
6;6;F
4;5;F
3;6;F
7;4;F
5;5;F
7;7;F
6;3;F
8;7;F
7;6;F
5;3;F
4;5;F
6;6;F
6;8;F
6;2;F
9;7;F
3;4;F
2;1;F
10;2;F
10;9;F
10;9;F
10;9;F
10;6;F
10;9;F
8;9;F
8;9;F
8;5;F
7;7;F
7;6;F
8;9;F
8;7;F
9;6;F
6;3;F
6;3;F
5;2;F
5;2;F
9;9;F
8;7;F
9;8;F
4;3;F
6;3;F
6;7;F
3;3;F
6;5;F
5;8;F
3;1;F
8;8;F
4;4;F
8;7;F
5;9;F
4;7;F
4;2;F
7;3;F
5;1;F
3;1;F
2;3;F
2;1;F
7;8;F
3;4;F
3;1;F
7;6;F
2;4;F
1;1;F
8;8;F
8;2;F
8;1;F
3;4;F
2;1;F
4;5;F
3;2;F
7;1;F
6;7;F
4;7;F
6;6;F
6;4;F
3;3;F
6;7;F
4;4;F
5;3;F
7;7;F
4;3;F
3;3;F
7;6;F
5;1;F
6;7;F
4;4;F
4;5;F
2;6;F
7;4;F
7;7;F
3;1;F
10;9;F
10;9;F
10;6;F
5;3;F
7;1;F
3;2;F
4;8;H
2;5;H
2;7;H
5;4;H
6;6;H
1;3;H
4;6;H
4;2;H
2;3;H
3;7;H
1;3;H
5;2;H
6;5;H
6;6;H
5;5;H
5;3;H
4;6;H
7;6;H
6;7;H
6;7;H
6;4;H
6;4;H
5;3;H
6;4;H
7;7;H
6;5;H
4;3;H
7;7;H
5;3;H
7;5;H
6;6;H
8;5;H
8;7;H
8;8;H
7;7;H
4;4;H
4;3;H
7;6;H
8;8;H
8;7;H
8;9;H
9;10;H
8;8;H
8;2;H
3;2;H
5;1;H
10;9;H
8;6;H
9;10;H
5;6;H
7;7;H
9;9;H
8;8;H
9;10;H
8;5;H
7;8;H
9;10;H
4;3;H
10;9;H
6;3;H
4;5;H
2;4;H
1;6;H
2;1;H
2;3;H
2;5;H
1;3;H
1;6;H
2;5;H
1;7;H
3;1;H
1;6;H
4;6;H
5;5;H
5;4;H
5;5;H
5;6;H
5;6;H
6;6;H
4;5;H
5;6;H
5;6;H
5;4;H
5;6;H
7;5;H
8;7;H
7;5;H
9;9;H
7;5;H
9;8;H
5;2;H
8;7;H
8;7;H
5;3;H
9;7;H
9;8;H
7;6;H
1;2;H
8;7;H
7;6;H
4;2;H
9;7;H
6;3;H
10;8;H
7;4;H
6;5;H
9;7;H
3;2;H
7;5;H
9;7;H
7;8;H
7;8;H
8;9;H
8;8;H
8;9;H
7;4;H
8;9;H
9;9;H
5;4;H
8;7;H
